abbreviation,addedBy,cog,csecoida,description,ecnumber,formula,keggId,keggorthology,lastModified,mcs,modifiedBy,notes,pdmapName,ref,reversible,rxn_id,subsystem,url
FATP5t,,,3A0000269,fatty acid electroneutral transport,,na1[c] + arachd[c] <=> na1[e] + arachd[e] ,,,2016-11-30T10:23:16Z,4,,electroneutral transport NJ,FATP5t,"PMID:10479480,PMID:12856180,PMID:15522816",1,1721,"Transport, extracellular",http://vmh.uni.lu/_api/reactions/1721/?format=pcsv
FATP6t,,,3A0000269,fatty acid electroneutral transport,,na1[c] + adrn[c] <=> na1[e] + adrn[e] ,,,2016-11-30T10:23:16Z,4,,electroneutral transport NJ,FATP6t,"PMID:10479480,PMID:12856180,PMID:15522816",1,1722,"Transport, extracellular",http://vmh.uni.lu/_api/reactions/1722/?format=pcsv
FATP7t,,,3A0000000,fatty acid electroneutral transport,,na1[c] + crvnc[c] <=> na1[e] + crvnc[e] ,,,2016-11-30T10:23:16Z,4,,electroneutral transport NJ,FATP7t,"PMID:10479480,PMID:12856180,PMID:15522816",1,1723,"Transport, extracellular",http://vmh.uni.lu/_api/reactions/1723/?format=pcsv
FATP8t,,,3A0000269,fatty acid electroneutral transport,,na1[c] + lgnc[c] <=> na1[e] + lgnc[e] ,,,2016-11-30T10:23:16Z,4,,electroneutral transport NJ,FATP8t,"PMID:10479480,PMID:12856180,PMID:15522816",1,1724,"Transport, extracellular",http://vmh.uni.lu/_api/reactions/1724/?format=pcsv
FATP9t,,,3A0000269,fatty acid electroneutral transport,,na1[c] + nrvnc[c] <=> na1[e] + nrvnc[e] ,,,2016-11-30T10:23:16Z,4,,electroneutral transport NJ,FATP9t,"PMID:10479480,PMID:12856180,PMID:15522816",1,1725,"Transport, extracellular",http://vmh.uni.lu/_api/reactions/1725/?format=pcsv
FBA,,COG3588 COG1980 COG0191 COG1830,3A0000134,fructose-bisphosphate aldolase,4.1.2.13,fdp[c] <=> dhap[c] + g3p[c] ,R01068,K01623 K01624 K11645 K16305 K16306 K01622,2016-11-30T10:23:16Z,0,,6765112 - fluorescence of presence in human brain,FBA,"PMID:12626877,PMID:6765112",1,1726,Glycolysis/gluconeogenesis,http://vmh.uni.lu/_api/reactions/1726/?format=pcsv
FBA2,,COG3588 COG1980 COG0191 COG1830,3A0000304,D-Fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase,4.1.2.13,f1p[c] <=> dhap[c] + glyald[c] ,R02568,K01622 K01623 K01624 K11645,2016-11-30T10:23:16Z,2,,NCD,FBA2,,1,1727,Fructose and mannose metabolism,http://vmh.uni.lu/_api/reactions/1727/?format=pcsv
FBA4,,COG3588,3A0000269,D-Fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase,4.1.2.13,xu1p_D[c] <=> dhap[c] + gcald[c] ,,K01623,2016-11-30T10:23:16Z,4,,NCD,FBA4,"PMID:2996495,PMID:6284103,PMID:6298387",1,1728,Glyoxylate and dicarboxylate metabolism,http://vmh.uni.lu/_api/reactions/1728/?format=pcsv
FBA5,,,3A0000269,D-Tagatose 1-phosphate D-glyceraldehyde-3-phosphate-lyase,4.1.2.13,tag1p_D[c] <=> dhap[c] + glyald[c] ,,,2016-11-30T10:23:16Z,4,,NCD,FBA5,"PMID:2996495,PMID:6284103,PMID:6298387",1,1729,Galactose metabolism,http://vmh.uni.lu/_api/reactions/1729/?format=pcsv
FBP,,COG1494,3A0000000,fructose-bisphosphatase,3.1.3.11,h2o[c] + fdp[c] -> pi[c] + f6p[c] ,R00762,K01086 K01622 K02446 K03841 K04041 K11532,2016-11-30T10:23:16Z,0,,SMP,FBP,PMID:9678974,0,1730,Glycolysis/gluconeogenesis,http://vmh.uni.lu/_api/reactions/1730/?format=pcsv
FBP26,,,3A0000000,"Fructose-2,6-bisphosphate 2-phosphatase",3.1.3.46,h2o[c] + f26bp[c] -> pi[c] + f6p[c] ,,,2016-11-30T10:23:16Z,0,,IF,FBP26,,0,1731,Fructose and mannose metabolism,http://vmh.uni.lu/_api/reactions/1731/?format=pcsv
FCLTm,,,3A0000304,"Ferrochelatase, mitochondrial",4.99.1.1,fe2[m] + ppp9[m] -> 2.0 h[m] + pheme[m] ,,,2016-11-30T10:23:16Z,2,,NCD; r0096,FCLTm,PMID:7983009,0,1732,Heme synthesis,http://vmh.uni.lu/_api/reactions/1732/?format=pcsv
FCOAH,,,3A0000000,formyl coa hydrolase,,h2o[c] + formcoa[c] -> h[c] + coa[c] + for[c] ,,,2016-11-30T10:23:16Z,2,,Note - formcoa formula is uncharged - the correct is FACOAH2 w/ forcoa NJ,FCOAH,"PMID:11341778,PMID:11591435",0,1733,Fatty acid oxidation,http://vmh.uni.lu/_api/reactions/1733/?format=pcsv
FDH,,,3A0000304,formate dehydrogenase,1.2.1.2,nad[c] + for[c] -> nadh[c] + co2[c] ,,K00122,2016-11-30T10:23:16Z,2,,,FDH,,0,1734,Fatty acid oxidation,http://vmh.uni.lu/_api/reactions/1734/?format=pcsv
FE2t,,,3A0000000,iron (II) transport,,fe2[e] -> fe2[c] ,,,2016-11-30T10:23:16Z,4,,,,PMID:12440707,0,1735,"Transport, extracellular",http://vmh.uni.lu/_api/reactions/1735/?format=pcsv
FE2tm,,,3A0000000,iron (II) transport,,h[c] + fe2[c] -> h[m] + fe2[m] ,,,2016-11-30T10:23:16Z,2,,"TDV Lange H, 1999.",,"PMID:10383398,PMID:12755454",0,1736,"Transport, mitochondrial",http://vmh.uni.lu/_api/reactions/1736/?format=pcsv
FE3R2e,,,3A0000269,Fe(III) reduction (ascorbate),,ascb_L[e] + 2.0 fe3[e] -> h[e] + dhdascb[e] + 2.0 fe2[e] ,,,2016-11-30T10:23:16Z,4,,stoichiometry unknown; inferred from EC1.16.1.7 NCD,FE3R2e,"PMID:11230685,PMID:12755454",0,1737,Heme synthesis,http://vmh.uni.lu/_api/reactions/1737/?format=pcsv
FK,,,3A0000000,Fucokinase,2.7.1.52,atp[c] + fuc_L[c] -> h[c] + adp[c] + fuc1p_L[c] ,,,2016-11-30T10:23:16Z,0,,kh 1/6/03 NCD,FK,,0,1738,Fructose and mannose metabolism,http://vmh.uni.lu/_api/reactions/1738/?format=pcsv
FKYNH,,COG1878 COG0657,3A0000000,N-Formyl-L-kynurenine amidohydrolase,3.5.1.9,h2o[c] + Lfmkynr[c] -> h[c] + for[c] + Lkynr[c] ,R01959,K01432 K07130 K14263,2016-11-30T10:23:16Z,4,,NCD,FKYNH,,0,1739,Tryptophan metabolism,http://vmh.uni.lu/_api/reactions/1739/?format=pcsv
FMNAT,,COG0196,3A0000134,FMN adenylyltransferase,2.7.7.2,h[c] + atp[c] + fmn[c] -> ppi[c] + fad[c] ,R00161,K00953 K11753 K14656,2016-11-30T10:23:16Z,2,,Human Y/N: Y,FMNAT,"PMID:16643857,PMID:17049878",0,1740,Vitamin B2 metabolism,http://vmh.uni.lu/_api/reactions/1740/?format=pcsv
FOLR2,,,3A0000254,folate reductase,,nadph[c] + fol[c] -> nadp[c] + dhf[c] ,,,2016-11-30T10:23:16Z,2,,,FOLR2,,0,1741,Folate metabolism,http://vmh.uni.lu/_api/reactions/1741/?format=pcsv
FOLt2,,,3A0000269,folate transport via anion exchange,,h2o[c] + fol[e] <=> h2o[e] + fol[c] ,,,2016-11-30T10:23:16Z,4,,IT,FOLt2,"PMID:11375437,PMID:14770311",1,1742,"Transport, extracellular",http://vmh.uni.lu/_api/reactions/1742/?format=pcsv
FORMCOAtx,,,3A0000000,formyl coa transport,,formcoa[x] <=> formcoa[c] ,,,2016-11-30T10:23:16Z,2,,unknown mechanism see Verhoeven 11591435 and clayton 11356171 - added for peroxisomal oxidation of fatty acids NJ,FORMCOAtx,,1,1743,"Transport, peroxisomal",http://vmh.uni.lu/_api/reactions/1743/?format=pcsv
FORt2m,,,3A0000000,formate mitochondrial transport,,for[m] <=> for[c] ,,,2016-11-30T10:23:16Z,1,,"NCD,IT",FORt2m,,1,1744,"Transport, mitochondrial",http://vmh.uni.lu/_api/reactions/1744/?format=pcsv
FORtr,,,3A0000000,"FOR transporter, endoplasmic reticulum",,for[c] <=> for[r] ,,,2016-11-30T10:23:16Z,1,,diffusion NJ,FORtr,,1,1745,"Transport, endoplasmic reticular",http://vmh.uni.lu/_api/reactions/1745/?format=pcsv
FORtrn,,,3A0000000,"Formate transport, nuclear",,for[c] <=> for[n] ,,,2016-11-30T10:23:16Z,2,,IT,FORtrn,,1,1746,"Transport, nuclear",http://vmh.uni.lu/_api/reactions/1746/?format=pcsv
FPGS,,COG0285,3A0000000,folylpolyglutamate synthetase,6.3.2.17,atp[c] + 4.0 glu_L[c] + thf[c] -> 3.0 h2o[c] + h[c] + adp[c] + pi[c] + 5thf[c] ,,K01930,2016-11-30T10:23:16Z,4,,IT,FPGS,PMID:10777604,0,1747,Folate metabolism,http://vmh.uni.lu/_api/reactions/1747/?format=pcsv
FPGS2,,,3A0000000,folylpolyglutamate synthetase,6.3.2.17,atp[c] + glu_L[c] + 5thf[c] -> h[c] + adp[c] + pi[c] + 6thf[c] ,,,2016-11-30T10:23:16Z,4,,IT,FPGS2,PMID:10777604,0,1748,Folate metabolism,http://vmh.uni.lu/_api/reactions/1748/?format=pcsv
FPGS2m,,,3A0000000,"folylpolyglutamate synthetase, mitochondrial",6.3.2.17,atp[m] + glu_L[m] + 5thf[m] -> h[m] + adp[m] + pi[m] + 6thf[m] ,,,2016-11-30T10:23:16Z,4,,IT,FPGS2m,PMID:10777604,0,1749,Folate metabolism,http://vmh.uni.lu/_api/reactions/1749/?format=pcsv
FPGS3,,,3A0000000,folylpolyglutamate synthetase,6.3.2.17,atp[c] + glu_L[c] + 6thf[c] -> h[c] + adp[c] + pi[c] + 7thf[c] ,,,2016-11-30T10:23:16Z,4,,IT,FPGS3,PMID:10777604,0,1750,Folate metabolism,http://vmh.uni.lu/_api/reactions/1750/?format=pcsv
FPGS3m,,,3A0000000,"folylpolyglutamate synthetase, mitochondrial",6.3.2.17,atp[m] + glu_L[m] + 6thf[m] -> h[m] + adp[m] + pi[m] + 7thf[m] ,,,2016-11-30T10:23:16Z,4,,IT,FPGS3m,PMID:10777604,0,1751,Folate metabolism,http://vmh.uni.lu/_api/reactions/1751/?format=pcsv
FPGS4,,,3A0000269,folylpolyglutamate synthetase (DHF),6.3.2.17,atp[c] + 4.0 glu_L[c] + dhf[c] -> 3.0 h2o[c] + h[c] + adp[c] + pi[c] + 5dhf[c] ,,,2016-11-30T10:23:16Z,4,,IT,FPGS4,PMID:10777604,0,1752,Folate metabolism,http://vmh.uni.lu/_api/reactions/1752/?format=pcsv
FPGS4m,,,3A0000000,"folylpolyglutamate synthetase (DHF), mitochondrial",6.3.2.17,atp[m] + 4.0 glu_L[m] + dhf[m] -> 3.0 h2o[m] + h[m] + adp[m] + pi[m] + 5dhf[m] ,,,2016-11-30T10:23:16Z,4,,IT,FPGS4m,PMID:10777604,0,1753,Folate metabolism,http://vmh.uni.lu/_api/reactions/1753/?format=pcsv
FPGS5,,,3A0000000,folylpolyglutamate  synthetase (DHF),6.3.2.17,atp[c] + glu_L[c] + 5dhf[c] -> h[c] + adp[c] + pi[c] + 6dhf[c] ,,,2016-11-30T10:23:16Z,4,,IT,FPGS5,PMID:10777604,0,1754,Folate metabolism,http://vmh.uni.lu/_api/reactions/1754/?format=pcsv
FPGS5m,,,3A0000000,"folylpolyglutamate  synthetase (DHF), mitochondrial",6.3.2.17,atp[m] + glu_L[m] + 5dhf[m] -> h[m] + adp[m] + pi[m] + 6dhf[m] ,,,2016-11-30T10:23:16Z,4,,IT,FPGS5m,PMID:10777604,0,1755,Folate metabolism,http://vmh.uni.lu/_api/reactions/1755/?format=pcsv
FPGS6,,,3A0000000,folylpolyglutamate synthetase (DHF),6.3.2.17,atp[c] + glu_L[c] + 6dhf[c] -> h[c] + adp[c] + pi[c] + 7dhf[c] ,,,2016-11-30T10:23:16Z,4,,IT,FPGS6,PMID:10777604,0,1756,Folate metabolism,http://vmh.uni.lu/_api/reactions/1756/?format=pcsv
FPGS6m,,,3A0000000,"folylpolyglutamate synthetase (DHF), mitochondrial",6.3.2.17,atp[m] + glu_L[m] + 6dhf[m] -> h[m] + adp[m] + pi[m] + 7dhf[m] ,,,2016-11-30T10:23:16Z,4,,IT,FPGS6m,PMID:10777604,0,1757,Folate metabolism,http://vmh.uni.lu/_api/reactions/1757/?format=pcsv
FPGS7,,COG0285,3A0000000,folylpolyglutamate synthetase (10fthf),6.3.2.17,10fthf[c] + atp[c] + 4.0 glu_L[c] -> 10fthf5glu[c] + 3.0 h2o[c] + h[c] + adp[c] + pi[c] ,R01654,K01930,2016-11-30T10:23:16Z,4,,IT,FPGS7,PMID:10777604,0,1758,Folate metabolism,http://vmh.uni.lu/_api/reactions/1758/?format=pcsv
FPGS7m,,,3A0000000,"folylpolyglutamate synthetase (10fthf), mitochondrial",6.3.2.17,10fthf[m] + atp[m] + 4.0 glu_L[m] -> 10fthf5glu[m] + 3.0 h2o[m] + h[m] + adp[m] + pi[m] ,,,2016-11-30T10:23:16Z,4,,IT,FPGS7m,PMID:10777604,0,1759,Folate metabolism,http://vmh.uni.lu/_api/reactions/1759/?format=pcsv
FPGS8,,,3A0000000,folylpolyglutamate synthetase (10fthf),6.3.2.17,10fthf5glu[c] + atp[c] + glu_L[c] -> 10fthf6glu[c] + h[c] + adp[c] + pi[c] ,,,2016-11-30T10:23:16Z,4,,IT,FPGS8,PMID:10777604,0,1760,Folate metabolism,http://vmh.uni.lu/_api/reactions/1760/?format=pcsv
FPGS8m,,,3A0000000,"folylpolyglutamate synthetase (10fthf), mitochondrial",6.3.2.17,10fthf5glu[m] + atp[m] + glu_L[m] -> 10fthf6glu[m] + h[m] + adp[m] + pi[m] ,,,2016-11-30T10:23:16Z,4,,IT,FPGS8m,PMID:10777604,0,1761,Folate metabolism,http://vmh.uni.lu/_api/reactions/1761/?format=pcsv
FPGS9,,,3A0000000,folylpolyglutamate synthetase (10fthf),6.3.2.17,10fthf6glu[c] + atp[c] + glu_L[c] -> 10fthf7glu[c] + h[c] + adp[c] + pi[c] ,,,2016-11-30T10:23:16Z,4,,IT,FPGS9,PMID:10777604,0,1762,Folate metabolism,http://vmh.uni.lu/_api/reactions/1762/?format=pcsv
FPGS9m,,,3A0000000,"folylpolyglutamate synthetase (10fthf), mitochondrial",6.3.2.17,10fthf6glu[m] + atp[m] + glu_L[m] -> 10fthf7glu[m] + h[m] + adp[m] + pi[m] ,,,2016-11-30T10:23:16Z,4,,IT,FPGS9m,PMID:10777604,0,1763,Folate metabolism,http://vmh.uni.lu/_api/reactions/1763/?format=pcsv
FPGSm,,,3A0000000,"folylpolyglutamate synthetase, mitochondrial",6.3.2.17,atp[m] + 4.0 glu_L[m] + thf[m] -> 3.0 h2o[m] + h[m] + adp[m] + pi[m] + 5thf[m] ,,,2016-11-30T10:23:16Z,4,,IT,FPGSm,PMID:10777604,0,1764,Folate metabolism,http://vmh.uni.lu/_api/reactions/1764/?format=pcsv
FRDPtc,,,3A0000000,"lipid, flip-flop intracellular transport",,frdp[x] <=> frdp[c] ,,,2016-11-30T10:23:16Z,2,,"cholesterol precursor, transport by &quot;diffusion&quot; -&gt; actually beleived to be flip-flop mechanism (PMID: 12840657). See also Krisans (PMID: 14713247, PMID: 12121718) for synthesis of cholesterol pathway (why FRDP needs to be transported between ER and peroxisome) NJ",FRDPtc,PMID:12840657,1,1765,"Transport, peroxisomal",http://vmh.uni.lu/_api/reactions/1765/?format=pcsv
FRDPtr,,,3A0000000,"lipid, flip-flop intracellular transport",,frdp[x] <=> frdp[r] ,,,2016-11-30T10:23:16Z,2,,"cholesterol precursor, transport by &quot;diffusion&quot; -&gt; actually beleived to be flip-flop mechanism (PMID: 12840657). See also Krisans (PMID: 14713247, PMID: 12121718) for synthesis of cholesterol pathway (why FRDP needs to be transported between ER and peroxisome) NJ",FRDPtr,"PMID:12121718,PMID:12840657,PMID:14713247",1,1766,"Transport, peroxisomal",http://vmh.uni.lu/_api/reactions/1766/?format=pcsv
FRTT,,COG0142,3A0000134,farnesyltranstransferase,2.5.1.29,ipdp[c] + frdp[c] -> ppi[c] + ggdp[c] ,R02061,K00804,2016-11-30T10:23:16Z,2,,Human Y/N: Y,FRTT,"PMID:17477828,PMID:17477829",0,1767,Cholesterol metabolism,http://vmh.uni.lu/_api/reactions/1767/?format=pcsv
FRUt1r,,,3A0000269,D-fructose transport in via uniport,,fru[e] <=> fru[c] ,,,2016-11-30T10:23:16Z,4,,NCD,FRUt1r,"PMID:10821868,PMID:10860996,PMID:11583593,PMID:11780753,PMID:11882499,PMID:12135767,PMID:12750891,PMID:15033637,PMID:1634504,PMID:1695905,PMID:1701966,PMID:2182619,PMID:3399500,PMID:8419132,PMID:9770484",1,1768,"Transport, extracellular",http://vmh.uni.lu/_api/reactions/1768/?format=pcsv
FRUt4,,,3A0000269,D-fructose transport  via sodium cotransport,,na1[e] + fru[e] <=> na1[c] + fru[c] ,,,2016-11-30T10:23:16Z,4,,NCD,FRUt4,"PMID:12748858,PMID:15607332",1,1769,"Transport, extracellular",http://vmh.uni.lu/_api/reactions/1769/?format=pcsv
FT,,COG0020,3A0000000,"farnesyltranstransferase (trans,trans,cis-geranylgeranyl diphosphate-generating)",2.5.1.31,ipdp[c] + frdp[c] -> ppi[c] + ttc_ggdp[c] ,R05555,K00806,2016-11-30T10:23:16Z,0,,EC 2.5.1.- NCD,FT,,0,1770,N-glycan synthesis,http://vmh.uni.lu/_api/reactions/1770/?format=pcsv
FTCD,,,3A0000134,formimidoyltransferase cyclodeaminase,4.3.1.4,2.0 h[c] + 5forthf[c] -> nh4[c] + methf[c] ,,,2016-11-30T10:23:16Z,4,,IT,,PMID:14697341,0,1771,Folate metabolism,http://vmh.uni.lu/_api/reactions/1771/?format=pcsv
FTHFCL,,COG0212,3A0000269,5-formethyltetrahydrofolate cyclo-ligase,6.3.3.2,atp[c] + 5fthf[c] -> adp[c] + pi[c] + methf[c] ,R02301,K01934,2016-11-30T10:23:16Z,4,,NCD,FTHFCL,PMID:12764149,0,1772,Folate metabolism,http://vmh.uni.lu/_api/reactions/1772/?format=pcsv
FTHFDH,,,3A0000269,formyltetrahydrofolate dehydrogenase,1.5.1.6,10fthf[c] + h2o[c] + nadp[c] -> h[c] + nadph[c] + co2[c] + thf[c] ,,,2016-11-30T10:23:16Z,4,,IT,FTHFDH,PMID:2733692,0,1773,Folate metabolism,http://vmh.uni.lu/_api/reactions/1773/?format=pcsv
FTHFL,,COG2759,3A0000134,Formate-tetrahydrofolate ligase,6.3.4.3,atp[c] + thf[c] + for[c] -> 10fthf[c] + adp[c] + pi[c] ,R00943,K00288 K01938 K13402,2016-11-30T10:23:16Z,4,,,FTHFL,,0,1774,Folate metabolism,http://vmh.uni.lu/_api/reactions/1774/?format=pcsv
FTHFLm,,,3A0000269,"formate-tetrahydrofolate ligase, mitochondrial",6.3.4.3,atp[m] + thf[m] + for[m] -> 10fthf[m] + adp[m] + pi[m] ,,,2016-11-30T10:23:16Z,4,,NCD,FTHFLm,PMID:12937168,0,1775,Folate metabolism,http://vmh.uni.lu/_api/reactions/1775/?format=pcsv
FUC13GALACGLCGAL14ACGLCGALGLUSIDEte,,,3A0000000,blood group intracellular transport,,fuc13galacglcgal14acglcgalgluside_hs[e] <=> fuc13galacglcgal14acglcgalgluside_hs[c] ,,,2016-11-30T10:23:16Z,2,,"unknown mechanism, however these blood groups need to make it to the extracellular surface of cells NJ",FUC13GALACGLCGAL14ACGLCGALGLUSIDEte,,1,1776,"Transport, extracellular",http://vmh.uni.lu/_api/reactions/1776/?format=pcsv
FUC13GALACGLCGAL14ACGLCGALGLUSIDEtg,,,3A0000000,blood group intracellular transport,,fuc13galacglcgal14acglcgalgluside_hs[g] <=> fuc13galacglcgal14acglcgalgluside_hs[c] ,,,2016-11-30T10:23:16Z,2,,"unknown mechanism, however these blood groups need to make it to the extracellular surface of cells NJ",FUC13GALACGLCGAL14ACGLCGALGLUSIDEtg,,1,1777,"Transport, golgi apparatus",http://vmh.uni.lu/_api/reactions/1777/?format=pcsv
FUC14GALACGLCGALGLUSIDEte,,,3A0000000,blood group intracellular transport,,fuc14galacglcgalgluside_hs[e] <=> fuc14galacglcgalgluside_hs[c] ,,,2016-11-30T10:23:16Z,2,,"unknown mechanism, however these blood groups need to make it to the extracellular surface of cells NJ",FUC14GALACGLCGALGLUSIDEte,,1,1778,"Transport, extracellular",http://vmh.uni.lu/_api/reactions/1778/?format=pcsv
FUC14GALACGLCGALGLUSIDEtg,,,3A0000000,blood group intracellular transport,,fuc14galacglcgalgluside_hs[g] <=> fuc14galacglcgalgluside_hs[c] ,,,2016-11-30T10:23:16Z,2,,"unknown mechanism, however these blood groups need to make it to the extracellular surface of cells NJ",FUC14GALACGLCGALGLUSIDEtg,,1,1779,"Transport, golgi apparatus",http://vmh.uni.lu/_api/reactions/1779/?format=pcsv
FUCACGALFUCGALACGLCGALGLUSIDEte,,,3A0000000,blood group intracellular transport,,fucacgalfucgalacglcgalgluside_hs[e] <=> fucacgalfucgalacglcgalgluside_hs[c] ,,,2016-11-30T10:23:17Z,2,,"unknown mechanism, however these blood groups need to make it to the extracellular surface of cells NJ",FUCACGALFUCGALACGLCGALGLUSIDEte,,1,1780,"Transport, extracellular",http://vmh.uni.lu/_api/reactions/1780/?format=pcsv
FUCACGALFUCGALACGLCGALGLUSIDEtg,,,3A0000000,blood group intracellular transport,,fucacgalfucgalacglcgalgluside_hs[g] <=> fucacgalfucgalacglcgalgluside_hs[c] ,,,2016-11-30T10:23:17Z,2,,"unknown mechanism, however these blood groups need to make it to the extracellular surface of cells NJ",FUCACGALFUCGALACGLCGALGLUSIDEtg,,1,1781,"Transport, golgi apparatus",http://vmh.uni.lu/_api/reactions/1781/?format=pcsv
FUCACNGAL14ACGLCGALGLUSIDEte,,,3A0000000,blood group intracellular transport,,fucacngal14acglcgalgluside_hs[e] <=> fucacngal14acglcgalgluside_hs[c] ,,,2016-11-30T10:23:17Z,2,,"unknown mechanism, however these blood groups need to make it to the extracellular surface of cells NJ",FUCACNGAL14ACGLCGALGLUSIDEte,,1,1782,"Transport, extracellular",http://vmh.uni.lu/_api/reactions/1782/?format=pcsv
FUCACNGAL14ACGLCGALGLUSIDEtg,,,3A0000000,blood group intracellular transport,,fucacngal14acglcgalgluside_hs[g] <=> fucacngal14acglcgalgluside_hs[c] ,,,2016-11-30T10:23:17Z,2,,"unknown mechanism, however these blood groups need to make it to the extracellular surface of cells NJ",FUCACNGAL14ACGLCGALGLUSIDEtg,,1,1783,"Transport, golgi apparatus",http://vmh.uni.lu/_api/reactions/1783/?format=pcsv
FUCACNGALACGLCGALGLUSIDEte,,,3A0000000,blood group intracellular transport,,fucacngalacglcgalgluside_hs[e] <=> fucacngalacglcgalgluside_hs[c] ,,,2016-11-30T10:23:17Z,2,,"unknown mechanism, however these blood groups need to make it to the extracellular surface of cells NJ",FUCACNGALACGLCGALGLUSIDEte,,1,1784,"Transport, extracellular",http://vmh.uni.lu/_api/reactions/1784/?format=pcsv
FUCACNGALACGLCGALGLUSIDEtg,,,3A0000000,blood group intracellular transport,,fucacngalacglcgalgluside_hs[g] <=> fucacngalacglcgalgluside_hs[c] ,,,2016-11-30T10:23:17Z,2,,"unknown mechanism, however these blood groups need to make it to the extracellular surface of cells NJ",FUCACNGALACGLCGALGLUSIDEtg,,1,1785,"Transport, golgi apparatus",http://vmh.uni.lu/_api/reactions/1785/?format=pcsv
FUCASE2e,,,3A0000000,"alpha-fucosidase, extracellular",3.2.1.51,h2o[e] + ksi[e] -> fuc_L[e] + ksi_deg1[e] ,,,2016-11-30T10:23:17Z,4,,NCD,FUCASE2e,"PMID:10460218,PMID:11389735,PMID:12604617,PMID:2317201",0,1786,Keratan sulfate degradation,http://vmh.uni.lu/_api/reactions/1786/?format=pcsv
FUCASE2ly,,,3A0000000,"alpha-fucosidase, lysosomal",3.2.1.51,h2o[l] + ksi[l] -> fuc_L[l] + ksi_deg1[l] ,,,2016-11-30T10:23:17Z,4,,NCD,FUCASE2ly,"PMID:11870229,PMID:1769200,PMID:2803312,PMID:2983333",0,1787,Keratan sulfate degradation,http://vmh.uni.lu/_api/reactions/1787/?format=pcsv
FUCASEe,,,3A0000000,"alpha-fucosidase, extracellular",3.2.1.51,h2o[e] + s2l2fn2m2masn[e] -> fuc_L[e] + s2l2n2m2masn[e] ,,,2016-11-30T10:23:17Z,0,,NCD,FUCASEe,,0,1788,N-glycan degradation,http://vmh.uni.lu/_api/reactions/1788/?format=pcsv
FUCASEly,,,3A0000000,"alpha-fucosidase, lysosomal",3.2.1.51,h2o[l] + s2l2fn2m2masn[l] -> fuc_L[l] + s2l2n2m2masn[l] ,,,2016-11-30T10:23:17Z,0,,NCD,FUCASEly,,0,1789,N-glycan degradation,http://vmh.uni.lu/_api/reactions/1789/?format=pcsv
FUCFUC12GAL14ACGLCGALGLUSIDEte,,,3A0000000,blood group intracellular transport,,fucfuc12gal14acglcgalgluside_hs[e] <=> fucfuc12gal14acglcgalgluside_hs[c] ,,,2016-11-30T10:23:17Z,2,,"unknown mechanism, however these blood groups need to make it to the extracellular surface of cells NJ",FUCFUC12GAL14ACGLCGALGLUSIDEte,,1,1790,"Transport, extracellular",http://vmh.uni.lu/_api/reactions/1790/?format=pcsv
FUCFUC12GAL14ACGLCGALGLUSIDEtg,,,3A0000000,blood group intracellular transport,,fucfuc12gal14acglcgalgluside_hs[g] <=> fucfuc12gal14acglcgalgluside_hs[c] ,,,2016-11-30T10:23:17Z,2,,"unknown mechanism, however these blood groups need to make it to the extracellular surface of cells NJ",FUCFUC12GAL14ACGLCGALGLUSIDEtg,,1,1791,"Transport, golgi apparatus",http://vmh.uni.lu/_api/reactions/1791/?format=pcsv
FUCFUC132GALACGLCGAL14ACGLCGALGLUSIDEte,,,3A0000000,blood group intracellular transport,,fucfuc132galacglcgal14acglcgalgluside_hs[e] <=> fucfuc132galacglcgal14acglcgalgluside_hs[c] ,,,2016-11-30T10:23:17Z,2,,"unknown mechanism, however these blood groups need to make it to the extracellular surface of cells NJ",FUCFUC132GALACGLCGAL14ACGLCGALGLUSIDEte,,1,1792,"Transport, extracellular",http://vmh.uni.lu/_api/reactions/1792/?format=pcsv
FUCFUC132GALACGLCGAL14ACGLCGALGLUSIDEtg,,,3A0000000,blood group intracellular transport,,fucfuc132galacglcgal14acglcgalgluside_hs[g] <=> fucfuc132galacglcgal14acglcgalgluside_hs[c] ,,,2016-11-30T10:23:17Z,2,,"unknown mechanism, however these blood groups need to make it to the extracellular surface of cells NJ",FUCFUC132GALACGLCGAL14ACGLCGALGLUSIDEtg,,1,1793,"Transport, golgi apparatus",http://vmh.uni.lu/_api/reactions/1793/?format=pcsv
FUCFUCFUCGALACGLC13GALACGLCGAL14ACGLCGALGLUSIDEte,,,3A0000000,blood group intracellular transport,,fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs[e] <=> fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs[c] ,,,2016-11-30T10:23:17Z,2,,"unknown mechanism, however these blood groups need to make it to the extracellular surface of cells NJ",FUCFUCFUCGALACGLC13GALACGLCGAL14ACGLCGALGLUSIDEte,,1,1794,"Transport, extracellular",http://vmh.uni.lu/_api/reactions/1794/?format=pcsv
