rxn	name	ec	pathway	pathway.name	subsystem	gapseq
RXN-8358	tetrathinate reductase (disproportionating)	""	|PWY-5358|	tetrathionate reduction I (to thiosulfate)	Degradation,Noncarbon-Nutrients,Sulfur-Metabolism,Tetrathionate-Reduction,Energy-Metabolism,Electron-Transfer	""
RXN-8362	tetrathionate decomposing enzyme	""	|PWY-5359|	tetrathionate reductiuon II (to trithionate)	Degradation,Noncarbon-Nutrients,Sulfur-Metabolism,Tetrathionate-Reduction	""
RXN-8372	icosanoyl-CoA desaturase	1.14.19.10	|PWY-5361|	(5Z)-icosenoate biosynthesis	Biosynthesis,Lipid-Biosynthesis,Fatty-acid-biosynthesis,Unsaturated-Fatty-Acids-Biosynthesis	""
RXN-8388	palmitoyl-ACP delta6 desaturase	1.14.19.26	|PWY-5362|	sapienate biosynthesis	Biosynthesis,Lipid-Biosynthesis,Fatty-acid-biosynthesis,Unsaturated-Fatty-Acids-Biosynthesis	""
RXN-8379	chrysin synthase	1.14.20.5/1.14.11.22	|PWY-5363|	chrysin biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,PHENYLPROPANOID-SYN,FLAVONOID-SYN,FLAVONOL-SYN	rxn01768 rxn02564 rxn04406 rxn05095 rxn07870 rxn15675 rxn24378 rxn24554
RXN-8380	RXN-8380	""	|PWY-5364|	sulfur reduction II (via polysulfide)	Degradation,Noncarbon-Nutrients,Sulfur-Metabolism,Sulfur-reduction	""
RXN-8269	sulfide dehydrogenase	1.12.98.4/1.97.1.3	|PWY-5364|	sulfur reduction II (via polysulfide)	Degradation,Noncarbon-Nutrients,Sulfur-Metabolism,Sulfur-reduction	rxn06407 rxn17373 rxn19879 rxn24736
RXN-8382	dimethylallyl diphosphate:umbelliferone dimethylallyltransferase	2.5.1.139	|PWY-5365|	linear furanocoumarin biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,PHENYLPROPANOID-SYN,COUMARIN-SYN	""
RXN-8383	marmesin synthase	1.14.14.66	|PWY-5365|	linear furanocoumarin biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,PHENYLPROPANOID-SYN,COUMARIN-SYN	""
RXN-8386	psoralen synthase	1.14.14.141/1.14.13.102	|PWY-5365|	linear furanocoumarin biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,PHENYLPROPANOID-SYN,COUMARIN-SYN	rxn11741
RXN-8387	psoralen 5-monooxygenase	""	|PWY-5365|	linear furanocoumarin biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,PHENYLPROPANOID-SYN,COUMARIN-SYN	""
2.1.1.69-RXN	bergaptol O-methyltransferase	2.1.1.69/2.1.1.92	|PWY-5365|	linear furanocoumarin biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,PHENYLPROPANOID-SYN,COUMARIN-SYN	rxn02068 rxn12179 rxn24930
RXN-8389	palmitoyl-[acyl-carrier-protein] 9-desaturase	1.14.19.2	|PWY-5366|	palmitoleate biosynthesis II (plants and bacteria)	Biosynthesis,Lipid-Biosynthesis,Fatty-acid-biosynthesis,Unsaturated-Fatty-Acids-Biosynthesis,Palmitoleate-Biosynthesis	rxn06369 rxn11698 rxn12017 rxn17120 rxn24508
RXN-9550	palmitoleoyl-[acp] thioesterase	3.1.2.14	|PWY-5366|	palmitoleate biosynthesis II (plants and bacteria)	Biosynthesis,Lipid-Biosynthesis,Fatty-acid-biosynthesis,Unsaturated-Fatty-Acids-Biosynthesis,Palmitoleate-Biosynthesis	rxn06033 rxn06251 rxn06556 rxn08433 rxn08434 rxn08435 rxn08436 rxn08437 rxn08438 rxn09454 rxn09456 rxn11699 rxn17803 rxn21082 rxn23283 rxn23301 rxn23315 rxn24506 rxn25653 rxn25656 rxn25660 rxn27551 rxn28229 rxn34722 rxn34724 rxn37723 rxn37726
RXN-8390	palmitoyl-[acp] 4-desaturase	1.14.19.11	|PWY-5367|	petroselinate biosynthesis	Biosynthesis,Lipid-Biosynthesis,Fatty-acid-biosynthesis,Unsaturated-Fatty-Acids-Biosynthesis	""
RXN-8391	3-oxo-petroselinoyl-[acp] synthase	2.3.1.179	|PWY-5367|	petroselinate biosynthesis	Biosynthesis,Lipid-Biosynthesis,Fatty-acid-biosynthesis,Unsaturated-Fatty-Acids-Biosynthesis	rxn05343 rxn05344 rxn05345 rxn05346 rxn05347 rxn05348 rxn05350 rxn07576 rxn17469 rxn26534 rxn26551 rxn26578 rxn26587 rxn26622 rxn26627 rxn26641 rxn26654 rxn26678 rxn26681 rxn26682 rxn26690 rxn26698 rxn26704 rxn26712 rxn26717 rxn26722 rxn27506 rxn31225
RXN-9551	RXN-9551	3.1.2.14	|PWY-5367|	petroselinate biosynthesis	Biosynthesis,Lipid-Biosynthesis,Fatty-acid-biosynthesis,Unsaturated-Fatty-Acids-Biosynthesis	rxn06033 rxn06251 rxn06556 rxn08433 rxn08434 rxn08435 rxn08436 rxn08437 rxn08438 rxn09454 rxn09456 rxn11699 rxn17803 rxn21082 rxn23283 rxn23301 rxn23315 rxn24506 rxn25653 rxn25656 rxn25660 rxn27551 rxn28229 rxn34722 rxn34724 rxn37723 rxn37726
RXN-9552	3-oxo-petroslinoyl-[acyl-carrier protein] reductase	1.1.1.100	|PWY-5367|	petroselinate biosynthesis	Biosynthesis,Lipid-Biosynthesis,Fatty-acid-biosynthesis,Unsaturated-Fatty-Acids-Biosynthesis	rxn05336 rxn05337 rxn05338 rxn05339 rxn05340 rxn05341 rxn05342 rxn06237 rxn07577 rxn07987 rxn07989 rxn07991 rxn07992 rxn07993 rxn07994 rxn21009 rxn21013 rxn21857 rxn21861 rxn23280 rxn23297 rxn23310 rxn25637 rxn25641 rxn25649 rxn25657 rxn25661 rxn25718 rxn26006 rxn26535 rxn26536 rxn26552 rxn26570 rxn26571 rxn26580 rxn26581 rxn26588 rxn26594 rxn26596 rxn26600 rxn26601 rxn26607 rxn26632 rxn26635 rxn26643 rxn26647 rxn26648 rxn26668 rxn26685 rxn26686 rxn26687 rxn26695 rxn26696 rxn26707 rxn26711 rxn26723 rxn28224 rxn37627 rxn37628 rxn37724 rxn37725 rxn38495
RXN-9553	3-hydroxypetroselinoyl-[acyl-carrier protein] dehydratase	""	|PWY-5367|	petroselinate biosynthesis	Biosynthesis,Lipid-Biosynthesis,Fatty-acid-biosynthesis,Unsaturated-Fatty-Acids-Biosynthesis	""
RXN-9554	Petrosel-2-enoyl-[acyl-carrier protein] reductase (NADPH, B-specific)	""	|PWY-5367|	petroselinate biosynthesis	Biosynthesis,Lipid-Biosynthesis,Fatty-acid-biosynthesis,Unsaturated-Fatty-Acids-Biosynthesis	""
RXN-8392	oleoyl-lipid 12-(E) desaturase	1.14.19.34	|PWY-5368|	dimorphecolate biosynthesis	Biosynthesis,Lipid-Biosynthesis,Fatty-acid-biosynthesis,Unsaturated-Fatty-Acids-Biosynthesis,PUFA-Biosynthesis,Conjugated-Fatty-Acid-Biosynthesis	""
RXN-8393	(9Z,12E)-octadecadienoyl-lipid 9-hydroxylase	""	|PWY-5368|	dimorphecolate biosynthesis	Biosynthesis,Lipid-Biosynthesis,Fatty-acid-biosynthesis,Unsaturated-Fatty-Acids-Biosynthesis,PUFA-Biosynthesis,Conjugated-Fatty-Acid-Biosynthesis	""
RXN-9670	lysophospholipid oleoyltransferase	2.3.1.23	|PWY-5368|	dimorphecolate biosynthesis	Biosynthesis,Lipid-Biosynthesis,Fatty-acid-biosynthesis,Unsaturated-Fatty-Acids-Biosynthesis,PUFA-Biosynthesis,Conjugated-Fatty-Acid-Biosynthesis	rxn05968 rxn06379 rxn06706 rxn17471
R526-RXN	chloroform dehalogenase	""	|PWY-5370|	carbon tetrachloride degradation I	Degradation,CHLORINATED-COMPOUNDS-DEG,Carbon-tetrachloride-degradation	""
R527-RXN	cometabolic reductive dechlorination of dichloromethane	""	|PWY-5370|	carbon tetrachloride degradation I	Degradation,CHLORINATED-COMPOUNDS-DEG,Carbon-tetrachloride-degradation	""
RXN-8410	cometabolic reductive dechlorination of methyl chloride	""	|PWY-5370|	carbon tetrachloride degradation I	Degradation,CHLORINATED-COMPOUNDS-DEG,Carbon-tetrachloride-degradation	""
R525-RXN	cytochrome P-450cam	""	|PWY-5370|	carbon tetrachloride degradation I	Degradation,CHLORINATED-COMPOUNDS-DEG,Carbon-tetrachloride-degradation	""
RXN-8401	corrinoid/iron-sulfur protein	""	|PWY-5372|	carbon tetrachloride degradation II	Degradation,CHLORINATED-COMPOUNDS-DEG,Carbon-tetrachloride-degradation	""
RXN-8406	RXN-8406	""	|PWY-5372|	carbon tetrachloride degradation II	Degradation,CHLORINATED-COMPOUNDS-DEG,Carbon-tetrachloride-degradation	""
RXN-8407	RXN-8407	""	|PWY-5372|	carbon tetrachloride degradation II	Degradation,CHLORINATED-COMPOUNDS-DEG,Carbon-tetrachloride-degradation	""
RXN-8408	RXN-8408	""	|PWY-5372|	carbon tetrachloride degradation II	Degradation,CHLORINATED-COMPOUNDS-DEG,Carbon-tetrachloride-degradation	""
FORMATE-DEHYDROGENASE-NADP+-RXN	NADP-dependent formate dehydrogenase	1.17.1.10	|PWY-5372|	carbon tetrachloride degradation II	Degradation,CHLORINATED-COMPOUNDS-DEG,Carbon-tetrachloride-degradation	rxn00103 rxn33750
1.2.7.4-RXN	carbon monoxide dehydrogenase (ferredoxin)	1.2.7.4	|PWY-5372|	carbon tetrachloride degradation II	Degradation,CHLORINATED-COMPOUNDS-DEG,Carbon-tetrachloride-degradation	rxn05803 rxn06847 rxn07189 rxn07824 rxn15962 rxn16153 rxn16164 rxn17208 rxn19251 rxn33372
RXN-8411	linoleoyl-[lipid] 9-conjugase	1.14.19.14	|PWY-5373|	calendate biosynthesis	Biosynthesis,Lipid-Biosynthesis,Fatty-acid-biosynthesis,Unsaturated-Fatty-Acids-Biosynthesis,PUFA-Biosynthesis,Conjugated-Fatty-Acid-Biosynthesis	""
RXN-8412	linoleoyl-lipid delta12 conjugase (11E,13Z-forming)	1.14.19.16	|PWY-5374|	punicate biosynthesis	Biosynthesis,Lipid-Biosynthesis,Fatty-acid-biosynthesis,Unsaturated-Fatty-Acids-Biosynthesis,PUFA-Biosynthesis,Conjugated-Fatty-Acid-Biosynthesis	""
RXN-8413	linoleoyl-lipid delta12-conjugase	1.14.19.33	|PWY-5375|	&alpha;-eleostearate biosynthesis	Biosynthesis,Lipid-Biosynthesis,Fatty-acid-biosynthesis,Unsaturated-Fatty-Acids-Biosynthesis,PUFA-Biosynthesis,Conjugated-Fatty-Acid-Biosynthesis	""
RXN-8434	alpha-amyrin synthase	5.4.99.40	|PWY-5377|	&alpha;-amyrin biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,TRITERPENOID-SYN	rxn04332
RXN-8435	fagopyranosyl synthase	""	|PWY-5379|	B series fagopyritols biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,SUGAR-DERIVS,Degradation,SECONDARY-METABOLITE-DEGRADATION,Sugar-Derivatives,CYCLITOLS-DEG	""
RXN-8436	RXN-8436	""	|PWY-5379|	B series fagopyritols biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,SUGAR-DERIVS,Degradation,SECONDARY-METABOLITE-DEGRADATION,Sugar-Derivatives,CYCLITOLS-DEG	""
RXN-8437	RXN-8437	""	|PWY-5379|	B series fagopyritols biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,SUGAR-DERIVS,Degradation,SECONDARY-METABOLITE-DEGRADATION,Sugar-Derivatives,CYCLITOLS-DEG	""
RXN-8438	fagopyritol A1 synthase	""	|PWY-5380|	A series fagopyritols biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,SUGAR-DERIVS,Degradation,SECONDARY-METABOLITE-DEGRADATION,Sugar-Derivatives,CYCLITOLS-DEG	""
RXN-8439	RXN-8439	""	|PWY-5380|	A series fagopyritols biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,SUGAR-DERIVS,Degradation,SECONDARY-METABOLITE-DEGRADATION,Sugar-Derivatives,CYCLITOLS-DEG	""
RXN-8440	RXN-8440	""	|PWY-5380|	A series fagopyritols biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,SUGAR-DERIVS,Degradation,SECONDARY-METABOLITE-DEGRADATION,Sugar-Derivatives,CYCLITOLS-DEG	""
NADPYROPHOSPHAT-RXN	NAD pyrophosphatase	3.6.1.22	|PWY-5381|	NAD salvage (plants)	Carriers-Biosynthesis,Electron-Carrier-Biosynthesis,NAD-Metabolism,Biosynthesis,Cofactor-Biosynthesis,Enzyme-Cofactor-Biosynthesis,NAD-SYN	rxn00076 rxn02154
NMNNUCLEOSID-RXN	NMN nucleosidase	3.2.2.14/3.2.2.6	|PWY-5381|	NAD salvage (plants)	Carriers-Biosynthesis,Electron-Carrier-Biosynthesis,NAD-Metabolism,Biosynthesis,Cofactor-Biosynthesis,Enzyme-Cofactor-Biosynthesis,NAD-SYN	rxn00089 rxn14307 rxn20264
RXN-5841	RXN-5841	3.1.3.5	|PWY-5381|	NAD salvage (plants)	Carriers-Biosynthesis,Electron-Carrier-Biosynthesis,NAD-Metabolism,Biosynthesis,Cofactor-Biosynthesis,Enzyme-Cofactor-Biosynthesis,NAD-SYN	rxn00132 rxn00363 rxn00708 rxn00831 rxn00913 rxn01145 rxn01218 rxn01445 rxn01507 rxn01521 rxn01670 rxn01961 rxn02400 rxn05050 rxn09010 rxn18968
RXN-8441	nicotinamide ribose nucleosidase	3.2.2.3	|PWY-5381|	NAD salvage (plants)	Carriers-Biosynthesis,Electron-Carrier-Biosynthesis,NAD-Metabolism,Biosynthesis,Cofactor-Biosynthesis,Enzyme-Cofactor-Biosynthesis,NAD-SYN	rxn00797 rxn15118 rxn27430
RXN-8442	RXN-8442	""	|PWY-5381|	NAD salvage (plants)	Carriers-Biosynthesis,Electron-Carrier-Biosynthesis,NAD-Metabolism,Biosynthesis,Cofactor-Biosynthesis,Enzyme-Cofactor-Biosynthesis,NAD-SYN	""
RXN-8443	nicotinate riboside kinase	2.7.1.173	|PWY-5381|	NAD salvage (plants)	Carriers-Biosynthesis,Electron-Carrier-Biosynthesis,NAD-Metabolism,Biosynthesis,Cofactor-Biosynthesis,Enzyme-Cofactor-Biosynthesis,NAD-SYN	rxn02401
NICOTINATEPRIBOSYLTRANS-RXN	nicotinate phosphoribosyltransferase	6.3.4.21/2.4.2.11	|PWY-5381|	NAD salvage (plants)	Carriers-Biosynthesis,Electron-Carrier-Biosynthesis,NAD-Metabolism,Biosynthesis,Cofactor-Biosynthesis,Enzyme-Cofactor-Biosynthesis,NAD-SYN	rxn01265 rxn08981
NICONUCADENYLYLTRAN-RXN	nicotinate mononucleotide adenylyltransferase	2.7.7.18	|PWY-5381|	NAD salvage (plants)	Carriers-Biosynthesis,Electron-Carrier-Biosynthesis,NAD-Metabolism,Biosynthesis,Cofactor-Biosynthesis,Enzyme-Cofactor-Biosynthesis,NAD-SYN	rxn00105 rxn02155
NAD-SYNTH-GLN-RXN	NAD synthetase (glutamine dependent)	6.3.5.1	|PWY-5381|	NAD salvage (plants)	Carriers-Biosynthesis,Electron-Carrier-Biosynthesis,NAD-Metabolism,Biosynthesis,Cofactor-Biosynthesis,Enzyme-Cofactor-Biosynthesis,NAD-SYN	rxn00138 rxn00190
RXN-8444	NaMN nucleosidase	""	|PWY-5381|	NAD salvage (plants)	Carriers-Biosynthesis,Electron-Carrier-Biosynthesis,NAD-Metabolism,Biosynthesis,Cofactor-Biosynthesis,Enzyme-Cofactor-Biosynthesis,NAD-SYN	""
NICOTINAMID-RXN	nicotinamidase	3.5.1.19	|PWY-5381|	NAD salvage (plants)	Carriers-Biosynthesis,Electron-Carrier-Biosynthesis,NAD-Metabolism,Biosynthesis,Cofactor-Biosynthesis,Enzyme-Cofactor-Biosynthesis,NAD-SYN	rxn00938 rxn30041
HYDROGEN-DEHYDROGENASE-RXN	hydrogenase	1.12.1.2	|PWY-5382|	hydrogen oxidation II (aerobic, NAD)	Energy-Metabolism,CHEMOAUTOTROPHIC-ENERGY-METABOLISM,Hydrogen-Oxidation	rxn05887
SUCROSE-PHOSPHORYLASE-RXN	sucrose phosphorylase	2.4.1.7	|PWY-5384|	sucrose degradation IV (sucrose phosphorylase)	Degradation,Carbohydrates-Degradation,Sugars-And-Polysaccharides-Degradation,SUCROSE-DEG	rxn00577 rxn07013 rxn27255
FRUCTOKINASE-RXN	fructokinase	2.7.1.4	|PWY-5384|	sucrose degradation IV (sucrose phosphorylase)	Degradation,Carbohydrates-Degradation,Sugars-And-Polysaccharides-Degradation,SUCROSE-DEG	rxn00547 rxn15081 rxn15435 rxn21891 rxn31650
PGLUCISOM-RXN	glucose-6-phosphate isomerase	5.3.1.9	|PWY-5384|	sucrose degradation IV (sucrose phosphorylase)	Degradation,Carbohydrates-Degradation,Sugars-And-Polysaccharides-Degradation,SUCROSE-DEG	rxn00558 rxn01977 rxn02380 rxn15364 rxn20522 rxn33602 rxn33838 rxn37760
PHOSPHOGLUCMUT-RXN	phosphoglucomutase	5.4.2.2/2.7.5.1	|PWY-5384|	sucrose degradation IV (sucrose phosphorylase)	Degradation,Carbohydrates-Degradation,Sugars-And-Polysaccharides-Degradation,SUCROSE-DEG	rxn00704 rxn00778 rxn02379 rxn12204 rxn15115 rxn20583
GLYOXI-RXN	glyoxalase I	4.4.1.5	|PWY-5386-1|	methylglyoxal degradation VIII	Detoxification,Methylglyoxal-Detoxification,Degradation,Aldehyde-Degradation	rxn01834
GLYOXII-RXN	glyoxalase II (cytoplasmic)	3.1.2.6/3.1.2.8	|PWY-5386-1|	methylglyoxal degradation VIII	Detoxification,Methylglyoxal-Detoxification,Degradation,Aldehyde-Degradation	rxn01274 rxn06584 rxn24519 rxn38442
D-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN	D-lactate ferricytochrome c oxidoreductase	1.1.2.4	|PWY-5386-1|	methylglyoxal degradation VIII	Detoxification,Methylglyoxal-Detoxification,Degradation,Aldehyde-Degradation	rxn00146 rxn19372 rxn32368
GLYOXI-RXN	glyoxalase I	4.4.1.5	|PWY-5386|	methylglyoxal degradation I	Detoxification,Degradation,Aldehyde-Degradation,Methylglyoxal-Detoxification	rxn01834
GLYOXII-RXN	hydroxyacylglutathione hydrolase	3.1.2.6/3.1.2.8	|PWY-5386|	methylglyoxal degradation I	Detoxification,Degradation,Aldehyde-Degradation,Methylglyoxal-Detoxification	rxn01274 rxn06584 rxn24519 rxn38442
RXN-20917	RXN-20917	1.1.5.12	|PWY-5386|	methylglyoxal degradation I	Detoxification,Degradation,Aldehyde-Degradation,Methylglyoxal-Detoxification	""
NICOTINATE-GLUCOSYLTRANSFERASE-RXN	UDPG:nicotinate N-glucosyltransferase	2.4.1.196	|PWY-5388|	N-glucosylnicotinate metabolism	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,N-CONTAINING-SECONDARY-CMPD-SYN,N-CONTAINING-GLUCOSIDE-SYN	rxn01263 rxn20275
R146-RXN	1,2-dihydroxy-5-(methylthio)pent-1-en-3-one:oxygen oxidoreductase (formate- and CO-forming)	1.13.11.53	|PWY-5389|	3-methylthiopropanoate biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,S-CONTAINING-SECONDARY-CMPD-SYN	rxn05091
RXN-8449	flavonol-3-O-glucoside L-rhamnosyltransferase	2.4.1.159	|PWY-5390|	rutin biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,PHENYLPROPANOID-SYN,FLAVONOID-SYN,FLAVONOL-SYN	rxn02736 rxn03351 rxn11579 rxn17535 rxn24931
RXN-527	taxifolin 2-oxoglutarate-dependent dioxygenase	1.14.20.6/1.14.11.23	|PWY-5390|	rutin biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,PHENYLPROPANOID-SYN,FLAVONOID-SYN,FLAVONOL-SYN	rxn01559 rxn02241 rxn04394 rxn05096 rxn07871 rxn24553 rxn28380
RXN1F-462	quercetin 3-O-glucosyltransferase	2.4.1.91	|PWY-5390|	rutin biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,PHENYLPROPANOID-SYN,FLAVONOID-SYN,FLAVONOL-SYN	rxn01557 rxn02340 rxn04463 rxn19708 rxn26524 rxn26525 rxn31374 rxn31375 rxn31376 rxn36717 rxn36718 rxn37729 rxn37730 rxn38101 rxn38102 rxn38541
RXN-8450	RXN-8450	1.14.20.6/1.14.11.23	|PWY-5391|	syringetin biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,PHENYLPROPANOID-SYN,FLAVONOID-SYN,FLAVONOL-SYN	rxn01559 rxn02241 rxn04394 rxn05096 rxn07871 rxn24553 rxn28380
RXN-8451	myricetin O-methyltransferase	2.1.1.267/2.1.1.149	|PWY-5391|	syringetin biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,PHENYLPROPANOID-SYN,FLAVONOID-SYN,FLAVONOL-SYN	rxn04630 rxn04631 rxn17415
RXN-8452	laricitrin O-methyltransferase	2.1.1.267/2.1.1.149	|PWY-5391|	syringetin biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,PHENYLPROPANOID-SYN,FLAVONOID-SYN,FLAVONOL-SYN	rxn04630 rxn04631 rxn17415
RXN-525	(+)-dihydrokaempferol 3'-hydroxylase	1.14.14.82/1.14.13.21	|PWY-5391|	syringetin biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,PHENYLPROPANOID-SYN,FLAVONOID-SYN,FLAVONOL-SYN	rxn01765 rxn02239 rxn04392 rxn04393 rxn06426 rxn07792 rxn07822 rxn19707 rxn24348 rxn27857 rxn31368 rxn31370
RXN-13718	(+)-taxifolin 5'-hydroxylase	1.14.14.81/1.14.13.88	|PWY-5391|	syringetin biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,PHENYLPROPANOID-SYN,FLAVONOID-SYN,FLAVONOL-SYN	rxn01765 rxn01766 rxn02239 rxn02240 rxn02601 rxn03353 rxn04412 rxn04414 rxn05097 rxn05098 rxn06166 rxn06317 rxn07115 rxn07116 rxn15676 rxn23457 rxn37759
FUMHYDR-RXN	FUMHYDR-RXN	4.2.1.2	|PWY-5392|	reductive TCA cycle II	Degradation,C1-COMPOUNDS,CO2-Fixation,Autotrophic-CO2-Fixation,Reductive-TCA-Cycles	rxn00799 rxn33856
SUCCCOASYN-RXN	SUCCCOASYN-RXN	6.2.1.5	|PWY-5392|	reductive TCA cycle II	Degradation,C1-COMPOUNDS,CO2-Fixation,Autotrophic-CO2-Fixation,Reductive-TCA-Cycles	rxn00285 rxn01731 rxn33854
2-OXOGLUTARATE-SYNTHASE-RXN	2-oxoglutarate:ferredoxin oxidoreductase	1.2.7.3/1.2.7.9	|PWY-5392|	reductive TCA cycle II	Degradation,C1-COMPOUNDS,CO2-Fixation,Autotrophic-CO2-Fixation,Reductive-TCA-Cycles	rxn14048 rxn17399 rxn31312
ACONITATEHYDR-RXN	cis-aconitate hydratase	4.2.1.3/4.2.1.4	|PWY-5392|	reductive TCA cycle II	Degradation,C1-COMPOUNDS,CO2-Fixation,Autotrophic-CO2-Fixation,Reductive-TCA-Cycles	rxn00973 rxn00974 rxn01388 rxn15171 rxn15172 rxn15280 rxn15281 rxn19040 rxn32587
ACONITATEDEHYDR-RXN	ACONITATEDEHYDR-RXN	4.2.1.3/4.2.1.4	|PWY-5392|	reductive TCA cycle II	Degradation,C1-COMPOUNDS,CO2-Fixation,Autotrophic-CO2-Fixation,Reductive-TCA-Cycles	rxn00973 rxn00974 rxn01388 rxn15171 rxn15172 rxn15280 rxn15281 rxn19040 rxn32587
PYRUFLAVREDUCT-RXN	pyruvate:ferredoxin oxidoreductase	1.2.7.1/1.2.7.2	|PWY-5392|	reductive TCA cycle II	Degradation,C1-COMPOUNDS,CO2-Fixation,Autotrophic-CO2-Fixation,Reductive-TCA-Cycles	rxn05938 rxn05940 rxn07824 rxn10951 rxn13974 rxn14178 rxn17398 rxn20651
CITRATE--COA-LIGASE-RXN	citryl-CoA synthetase	6.2.1.18	|PWY-5392|	reductive TCA cycle II	Degradation,C1-COMPOUNDS,CO2-Fixation,Autotrophic-CO2-Fixation,Reductive-TCA-Cycles	rxn00971
RXN-7929	citryl-coA lyase	4.1.3.34	|PWY-5392|	reductive TCA cycle II	Degradation,C1-COMPOUNDS,CO2-Fixation,Autotrophic-CO2-Fixation,Reductive-TCA-Cycles	rxn00259 rxn19315
RXN-8457	2-oxoglutarate carboxylase	6.4.1.7	|PWY-5392|	reductive TCA cycle II	Degradation,C1-COMPOUNDS,CO2-Fixation,Autotrophic-CO2-Fixation,Reductive-TCA-Cycles	rxn11735 rxn24940
R23-RXN	oxalosuccinate reductase	""	|PWY-5392|	reductive TCA cycle II	Degradation,C1-COMPOUNDS,CO2-Fixation,Autotrophic-CO2-Fixation,Reductive-TCA-Cycles	""
MALATE-DEH-RXN	MALATE-DEH-RXN	1.1.1.37	|PWY-5392|	reductive TCA cycle II	Degradation,C1-COMPOUNDS,CO2-Fixation,Autotrophic-CO2-Fixation,Reductive-TCA-Cycles	rxn00248
R601-RXN	R601-RXN	1.3.5.4	|PWY-5392|	reductive TCA cycle II	Degradation,C1-COMPOUNDS,CO2-Fixation,Autotrophic-CO2-Fixation,Reductive-TCA-Cycles	rxn08527 rxn08528 rxn10619 rxn13706 rxn13707 rxn16332 rxn20745
RXN-8458	benzalacetone synthase	2.3.1.212	|PWY-5393|	raspberry ketone biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,POLYKETIDE-SYN	""
RXN-8459	benzalacetone reductase	""	|PWY-5393|	raspberry ketone biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,POLYKETIDE-SYN	""
RXN-8460	4,5-DOPA-dioxygenase	1.13.11.29	|PWY-5394|	betalamic acid biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,N-CONTAINING-SECONDARY-CMPD-SYN,ALKALOIDS-SYN,BETALAIN-ALKALOIDS	rxn01494 rxn03153 rxn03154
RXN-8461	RXN-8461	""	|PWY-5394|	betalamic acid biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,N-CONTAINING-SECONDARY-CMPD-SYN,ALKALOIDS-SYN,BETALAIN-ALKALOIDS	""
TYROSINE-3-MONOOXYGENASE-RXN	tyrosine 3-monooxygenase	1.14.16.2	|PWY-5394|	betalamic acid biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,N-CONTAINING-SECONDARY-CMPD-SYN,ALKALOIDS-SYN,BETALAIN-ALKALOIDS	rxn01326 rxn04990 rxn27400
RXN-8470	RXN-8470	""	|PWY-5397|	crocetin biosynthesis	TETRATERPENOID-SYN,Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,CAROTENOID-SYN,C40-Carotenoids-Biosynthesis,APOCAROTENOID-SYN	""
RXN-8477	RXN-8477	""	|PWY-5397|	crocetin biosynthesis	TETRATERPENOID-SYN,Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Terpenoid-Biosynthesis,CAROTENOID-SYN,C40-Carotenoids-Biosynthesis,APOCAROTENOID-SYN	""
