MS ID	Old MS ID	External ID	Source
rxn00205|rxn04840|rxn04841|rxn27891|rxn33345|rxn33349|rxn34003	rxn00205|rxn04840|rxn04841	1.11.1.9	Enzyme Class
rxn21388|rxn21389|rxn21390|rxn22166|rxn23087		1.11.2.-	Enzyme Class
rxn16349|rxn22165		1.11.2.1	Enzyme Class
rxn16408		1.11.2.2	Enzyme Class
rxn16302|rxn16303|rxn22167|rxn22168		1.11.2.3	Enzyme Class
rxn16588|rxn16589|rxn22169		1.11.2.4	Enzyme Class
rxn05887	rxn05887|rxn07200	1.12.1.2	Enzyme Class
rxn07200		1.12.1.3	Enzyme Class
rxn16350|rxn22535		1.12.1.4	Enzyme Class
rxn15961		1.12.2.-	Enzyme Class
rxn06557|rxn19361	rxn06557	1.12.2.1	Enzyme Class
rxn06288|rxn17049	rxn06288	1.12.5.1	Enzyme Class
rxn05759|rxn19908|rxn19909|rxn38154|rxn38155	rxn05759|rxn07824	1.12.7.2	Enzyme Class
rxn06299|rxn19324	rxn06299	1.12.98.1	Enzyme Class
rxn03079|rxn06696	rxn06696	1.12.98.2	Enzyme Class
rxn15961		1.12.98.3	Enzyme Class
rxn05759		1.12.99.-	Enzyme Class
rxn07201|rxn07824|rxn26071|rxn26072|rxn26158|rxn26168	rxn07201|rxn07824	1.12.99.6	Enzyme Class
rxn04698|rxn04720|rxn04730|rxn04741|rxn07608	rxn04695|rxn04698|rxn04720|rxn04730|rxn04741|rxn07608	1.13.-.-	Enzyme Class
rxn28960|rxn37740|rxn37741		1.13.11	Enzyme Class
rxn00261|rxn01190|rxn01191|rxn01494|rxn02223|rxn03560|rxn03561|rxn03562|rxn03569|rxn03570|rxn03590|rxn03705|rxn03707|rxn03708|rxn03709|rxn03710|rxn03711|rxn03712|rxn03713|rxn03715|rxn03716|rxn03922|rxn04075|rxn04844|rxn04853|rxn04855|rxn04859|rxn06984|rxn07498|rxn07505|rxn07515|rxn07516|rxn07654|rxn16025|rxn16046|rxn16068|rxn16076|rxn16099|rxn16132|rxn18918|rxn22096|rxn22221|rxn23160|rxn23408|rxn23426|rxn23427|rxn23439|rxn23442|rxn23627|rxn23660|rxn23889|rxn24160|rxn28401|rxn33146|rxn33147	rxn00261|rxn01190|rxn01191|rxn02878|rxn03560|rxn03561|rxn03562|rxn03569|rxn03570|rxn03590|rxn03705|rxn03707|rxn03708|rxn03709|rxn03710|rxn03711|rxn03712|rxn03713|rxn03714|rxn03715|rxn03716|rxn03717|rxn03922|rxn04075|rxn04844|rxn04853|rxn04855|rxn04859|rxn06984|rxn07498|rxn07505|rxn07515|rxn07516|rxn14235	1.13.11.-	Enzyme Class
rxn00588|rxn02969|rxn03611|rxn04648|rxn04654|rxn07902|rxn07903|rxn15996	rxn00588|rxn02969|rxn03611|rxn04648|rxn04654|rxn07902|rxn07903	1.13.11.1	Enzyme Class
rxn02329	rxn02329	1.13.11.10	Enzyme Class
rxn00478	rxn00478	1.13.11.11	Enzyme Class
rxn02590|rxn07654|rxn07659|rxn23469|rxn27972	rxn02590|rxn07654|rxn07659	1.13.11.12	Enzyme Class
rxn00448	rxn00448	1.13.11.13	Enzyme Class
rxn01096	rxn01096	1.13.11.14	Enzyme Class
rxn02366	rxn02366	1.13.11.15	Enzyme Class
rxn03038|rxn04603	rxn03038|rxn04603	1.13.11.16	Enzyme Class
rxn01680	rxn01680	1.13.11.17	Enzyme Class
rxn00565|rxn14050|rxn15776|rxn23430|rxn24663|rxn33681	rxn00565|rxn14050	1.13.11.18	Enzyme Class
rxn01785	rxn01785	1.13.11.19	Enzyme Class
rxn00587|rxn02861|rxn03607|rxn03704|rxn03706|rxn07602|rxn21499|rxn21500	rxn00587|rxn02861|rxn03607|rxn03704|rxn03706|rxn07602	1.13.11.2	Enzyme Class
rxn00645	rxn00645	1.13.11.20	Enzyme Class
rxn02413	rxn02413	1.13.11.22	Enzyme Class
rxn00724	rxn00724	1.13.11.23	Enzyme Class
rxn01555|rxn20658	rxn01555	1.13.11.24	Enzyme Class
rxn03152	rxn03152	1.13.11.25	Enzyme Class
rxn06561|rxn20512	rxn06561	1.13.11.26	Enzyme Class
rxn00999|rxn01827|rxn32483|rxn32486|rxn33629|rxn37995|rxn38313|rxn38314	rxn00999|rxn01827	1.13.11.27	Enzyme Class
rxn01095	rxn01095	1.13.11.28	Enzyme Class
rxn01494|rxn03153|rxn03154	rxn01494|rxn03153|rxn03154	1.13.11.29	Enzyme Class
rxn01192|rxn02532	rxn01192|rxn02532	1.13.11.3	Enzyme Class
rxn01495|rxn03155|rxn03156	rxn01495|rxn03155|rxn03156	1.13.11.30	Enzyme Class
rxn01167	rxn01167	1.13.11.31	Enzyme Class
rxn00019	rxn00019	1.13.11.32	Enzyme Class
rxn01164|rxn02590	rxn01164|rxn02590	1.13.11.33	Enzyme Class
rxn01166|rxn02193|rxn12169	rxn01166|rxn02193|rxn04863|rxn12169	1.13.11.34	Enzyme Class
rxn02323|rxn20645	rxn02323	1.13.11.35	Enzyme Class
rxn03157	rxn03157	1.13.11.36	Enzyme Class
rxn02745|rxn02852	rxn02745|rxn02852	1.13.11.37	Enzyme Class
rxn02482|rxn07472	rxn02482|rxn07472	1.13.11.38	Enzyme Class
rxn02478|rxn03559|rxn03715|rxn07618|rxn19238	rxn02478|rxn03559|rxn07618	1.13.11.39	Enzyme Class
rxn01919	rxn01919	1.13.11.4	Enzyme Class
rxn01165|rxn04859	rxn01165	1.13.11.40	Enzyme Class
rxn00968	rxn00968	1.13.11.41	Enzyme Class
rxn00034	rxn00034	1.13.11.43	Enzyme Class
	rxn04867|rxn04868	1.13.11.44	Enzyme Class
rxn03984	rxn03984	1.13.11.45	Enzyme Class
rxn04029|rxn11674|rxn15552	rxn04029	1.13.11.46	Enzyme Class
rxn03364	rxn03364|rxn03495|rxn03985	1.13.11.47	Enzyme Class
rxn03495	rxn03986	1.13.11.48	Enzyme Class
rxn03987|rxn06953|rxn17060	rxn03987|rxn04964|rxn06953	1.13.11.49	Enzyme Class
rxn01825|rxn32545|rxn32572	rxn01825	1.13.11.5	Enzyme Class
rxn04964	rxn04964	1.13.11.50	Enzyme Class
rxn04761|rxn04762|rxn16526|rxn24215|rxn24539|rxn28378|rxn39040|rxn39041	rxn04761|rxn04762	1.13.11.51	Enzyme Class
rxn00478|rxn01949|rxn02082|rxn02592|rxn05090|rxn25058|rxn25059	rxn00478|rxn01949|rxn02082|rxn02592|rxn05090	1.13.11.52	Enzyme Class
rxn05091	rxn05091	1.13.11.53	Enzyme Class
rxn05092|rxn32462	rxn05092	1.13.11.54	Enzyme Class
rxn05093|rxn17061	rxn05093	1.13.11.55	Enzyme Class
rxn02878		1.13.11.56	Enzyme Class
rxn16409		1.13.11.57	Enzyme Class
rxn04863|rxn28400		1.13.11.58	Enzyme Class
rxn16624		1.13.11.59	Enzyme Class
rxn01927	rxn01927	1.13.11.6	Enzyme Class
rxn04867		1.13.11.60	Enzyme Class
rxn16651		1.13.11.61	Enzyme Class
rxn16652		1.13.11.62	Enzyme Class
rxn01193|rxn02533|rxn02983|rxn20899	rxn01193|rxn02533|rxn02983	1.13.11.8	Enzyme Class
rxn12749	rxn02293	1.13.11.9	Enzyme Class
rxn00112|rxn01826|rxn07729|rxn07744|rxn07745|rxn07746|rxn07747|rxn07748|rxn07749|rxn07750|rxn07751|rxn07752|rxn07753|rxn07754|rxn07757|rxn07758|rxn07759|rxn07760|rxn07761|rxn07762|rxn07763|rxn07764|rxn07765|rxn07766|rxn16018|rxn16096|rxn24714	rxn00112|rxn01826|rxn07729|rxn07744|rxn07745|rxn07746|rxn07747|rxn07748|rxn07749|rxn07750|rxn07751|rxn07752|rxn07753|rxn07754|rxn07755|rxn07756|rxn07757|rxn07758|rxn07759|rxn07760|rxn07761|rxn07762|rxn07763|rxn07764|rxn07765|rxn07766|rxn14010	1.13.12.-	Enzyme Class
rxn00401	rxn00401	1.13.12.1	Enzyme Class
rxn03629|rxn14139	rxn03629|rxn14139	1.13.12.12	Enzyme Class
rxn07184	rxn07184	1.13.12.13	Enzyme Class
	rxn11737|rxn11738	1.13.12.14	Enzyme Class
rxn14282	rxn14282	1.13.12.15	Enzyme Class
rxn14250|rxn17393	rxn14250	1.13.12.16	Enzyme Class
rxn16411		1.13.12.17	Enzyme Class
rxn16415		1.13.12.18	Enzyme Class
rxn16626		1.13.12.19	Enzyme Class
rxn00312	rxn00312	1.13.12.2	Enzyme Class
rxn00479	rxn00479	1.13.12.3	Enzyme Class
rxn00229	rxn00229	1.13.12.4	Enzyme Class
rxn06321	rxn06321	1.13.12.5	Enzyme Class
rxn06571	rxn06571	1.13.12.6	Enzyme Class
rxn06563	rxn06563	1.13.12.7	Enzyme Class
rxn06579	rxn06579	1.13.12.8	Enzyme Class
rxn00489	rxn00489	1.13.12.9	Enzyme Class
rxn00091|rxn03718|rxn23635	rxn00091|rxn03718	1.13.99.-	Enzyme Class
rxn00880|rxn15151|rxn20221|rxn33148|rxn33155	rxn00880	1.13.99.1	Enzyme Class
rxn00480|rxn24070|rxn24072|rxn24073|rxn24074|rxn24076|rxn24078	rxn00480	1.13.99.3	Enzyme Class
rxn00447|rxn02968|rxn03577|rxn03582|rxn03723|rxn04267|rxn04326|rxn04328|rxn04329|rxn04331|rxn04381|rxn04692|rxn04697|rxn06793|rxn06925|rxn07105|rxn07109|rxn07275|rxn07277|rxn07281|rxn07282|rxn07283|rxn07284|rxn07288|rxn07289|rxn07290|rxn07303|rxn07501|rxn07511|rxn07514|rxn07520|rxn07600|rxn11529|rxn11654|rxn11686|rxn12018|rxn12022|rxn14053|rxn14064|rxn14086|rxn14107|rxn14195|rxn14251|rxn14259|rxn14273|rxn14292|rxn14331|rxn15608|rxn15609|rxn15610|rxn15611|rxn15755|rxn15967|rxn15969|rxn16008|rxn16009|rxn16023|rxn16029|rxn16031|rxn16033|rxn16036|rxn16040|rxn16052|rxn16072|rxn16289|rxn16290|rxn16291|rxn16292|rxn16298|rxn16299|rxn16300|rxn16301|rxn16605|rxn16606|rxn20472|rxn20720|rxn20723|rxn21585|rxn21587|rxn21753|rxn21756|rxn21760|rxn21763|rxn21766|rxn21769|rxn22061|rxn23195|rxn24018|rxn24247|rxn24250|rxn24256|rxn24257|rxn24332|rxn24334|rxn25115|rxn25464|rxn25469|rxn26738|rxn26751|rxn28816|rxn28825|rxn28826|rxn28827|rxn28831|rxn31246|rxn31345|rxn32218|rxn32219|rxn33025|rxn33027|rxn33028|rxn33293|rxn33294|rxn33544|rxn33547|rxn33771|rxn33801|rxn37063|rxn37064|rxn37065|rxn37066|rxn37067|rxn37068|rxn37069|rxn37070|rxn37071|rxn37072|rxn37073|rxn37074	rxn00447|rxn02968|rxn03577|rxn03786|rxn04267|rxn05113|rxn05130|rxn05131|rxn05132|rxn05139|rxn06925|rxn07105|rxn07109|rxn07275|rxn07277|rxn07281|rxn07282|rxn07283|rxn07288|rxn07289|rxn07290|rxn07299|rxn07302|rxn07501|rxn07511|rxn07514|rxn07520|rxn07600|rxn07606|rxn11686|rxn12022|rxn14064|rxn14086|rxn14107|rxn14195|rxn14251|rxn14259|rxn14273|rxn14331|rxn14354	1.14.-.-	Enzyme Class
rxn02699|rxn02979|rxn03411|rxn03412|rxn03453|rxn03719|rxn03786|rxn04208|rxn04209|rxn04210|rxn04211|rxn04219|rxn04220|rxn04222|rxn04223|rxn06912|rxn07840|rxn21782|rxn22149|rxn22310|rxn22795|rxn23079|rxn23083|rxn23088|rxn23090|rxn23091|rxn23277|rxn23721|rxn23818|rxn24166|rxn24167|rxn24168|rxn24169|rxn24170|rxn24171|rxn24172|rxn24173|rxn24174|rxn24175|rxn24319|rxn24320|rxn24321|rxn24333|rxn24343|rxn24375|rxn25198|rxn25593|rxn25896|rxn25920|rxn25929|rxn26499|rxn26509|rxn26510|rxn26511|rxn26512|rxn26513|rxn26530	rxn03544|rxn03719|rxn04219|rxn04220|rxn04222|rxn04223|rxn06912|rxn07840|rxn14081	1.14.11.-	Enzyme Class
rxn01727|rxn06162|rxn15329|rxn15330	rxn01727|rxn06162	1.14.11.1	Enzyme Class
rxn01801	rxn01801	1.14.11.10	Enzyme Class
rxn02702|rxn15429	rxn02702	1.14.11.11	Enzyme Class
rxn02697|rxn02698|rxn03453|rxn04195|rxn04196|rxn04199|rxn04965	rxn02697|rxn02698|rxn03453|rxn04195|rxn04196|rxn04199|rxn04965	1.14.11.12	Enzyme Class
rxn02157|rxn02699|rxn04210|rxn04211|rxn04215|rxn04216|rxn04217|rxn04218|rxn21890	rxn02157|rxn02699|rxn04210|rxn04211|rxn04215|rxn04216|rxn04217|rxn04218	1.14.11.13	Enzyme Class
rxn02654|rxn15422	rxn02654	1.14.11.14	Enzyme Class
rxn02158|rxn04209|rxn26515	rxn02158|rxn04209	1.14.11.15	Enzyme Class
rxn06576|rxn20511	rxn06576	1.14.11.16	Enzyme Class
rxn03630	rxn03630	1.14.11.17	Enzyme Class
rxn03988	rxn03988	1.14.11.18	Enzyme Class
rxn02979|rxn03411|rxn03412|rxn03989|rxn04395|rxn05094|rxn17062	rxn02979|rxn03411|rxn03412|rxn03989|rxn04395|rxn05094	1.14.11.19	Enzyme Class
rxn00932|rxn06346|rxn17063|rxn32280|rxn32283	rxn00932|rxn06346	1.14.11.2	Enzyme Class
rxn04088	rxn04088	1.14.11.20	Enzyme Class
rxn03763|rxn03765|rxn03766	rxn03763|rxn03765|rxn03766	1.14.11.21	Enzyme Class
rxn01768|rxn02564|rxn04406|rxn05095|rxn07870|rxn15675|rxn24378|rxn24554	rxn01768|rxn02564|rxn04406|rxn05095|rxn07870	1.14.11.22	Enzyme Class
rxn01559|rxn02241|rxn04394|rxn05096|rxn07871|rxn24553|rxn28308|rxn28379|rxn28380	rxn01559|rxn02241|rxn04394|rxn05096|rxn07871	1.14.11.23	Enzyme Class
rxn04966	rxn04966	1.14.11.24	Enzyme Class
rxn04967|rxn04968	rxn04967|rxn04968	1.14.11.25	Enzyme Class
rxn03544	rxn03544	1.14.11.26	Enzyme Class
rxn16352|rxn16353|rxn23450		1.14.11.27	Enzyme Class
rxn16416|rxn17064		1.14.11.28	Enzyme Class
rxn21632|rxn21633		1.14.11.29	Enzyme Class
rxn01369	rxn01369	1.14.11.3	Enzyme Class
rxn21634		1.14.11.30	Enzyme Class
rxn02627|rxn03475		1.14.11.31	Enzyme Class
rxn03476|rxn16239		1.14.11.32	Enzyme Class
rxn22814|rxn26485|rxn26486|rxn26487		1.14.11.33	Enzyme Class
rxn16627		1.14.11.34	Enzyme Class
rxn06370|rxn20611	rxn06370	1.14.11.4	Enzyme Class
rxn01026|rxn13969|rxn14323|rxn32305|rxn32543|rxn32573	rxn01026|rxn13969|rxn14323	1.14.11.6	Enzyme Class
rxn06345	rxn06345	1.14.11.7	Enzyme Class
rxn02469|rxn27385	rxn02469	1.14.11.8	Enzyme Class
rxn01767|rxn02602|rxn03414|rxn05073|rxn07783|rxn07786|rxn07787|rxn15670|rxn17065	rxn01767|rxn02602|rxn03414|rxn05073|rxn07783|rxn07786|rxn07787	1.14.11.9	Enzyme Class
rxn03561|rxn03591|rxn03592|rxn03602|rxn03603|rxn03606|rxn03717|rxn03728|rxn03729|rxn03730|rxn03731|rxn03732|rxn03733|rxn03734|rxn03735|rxn03736|rxn03737|rxn03738|rxn03739|rxn03740|rxn03936|rxn04646|rxn04671|rxn04728|rxn07606|rxn07892|rxn07893|rxn11654|rxn15992|rxn15993|rxn16022|rxn16027|rxn16063|rxn16066|rxn16071|rxn16089|rxn16095|rxn19243|rxn20765|rxn20895|rxn20896|rxn20901|rxn21894|rxn25900|rxn25901	rxn03591|rxn03592|rxn03602|rxn03603|rxn03606|rxn03728|rxn03729|rxn03730|rxn03731|rxn03732|rxn03733|rxn03734|rxn03735|rxn03736|rxn03737|rxn03738|rxn03739|rxn03740|rxn03936|rxn04597|rxn04598|rxn04646|rxn04671|rxn04728|rxn07892|rxn07893	1.14.12.-	Enzyme Class
rxn00594|rxn00595|rxn17066	rxn00594|rxn00595	1.14.12.1	Enzyme Class
rxn00590|rxn03897|rxn03898|rxn04969|rxn07889|rxn07890|rxn07896|rxn07897|rxn07898	rxn00590|rxn03602|rxn03897|rxn03898|rxn03936|rxn04969|rxn07889|rxn07890|rxn07896|rxn07897|rxn07898	1.14.12.10	Enzyme Class
rxn02539|rxn16013|rxn16014	rxn02539	1.14.12.11	Enzyme Class
rxn02124|rxn02125|rxn03722|rxn03723|rxn03724|rxn03725|rxn03726|rxn03727|rxn04718|rxn04739|rxn04746|rxn06913|rxn06914|rxn07518|rxn11654|rxn11655|rxn11656|rxn11657|rxn16021	rxn02124|rxn02125|rxn03722|rxn03723|rxn03724|rxn03725|rxn03726|rxn03727|rxn04718|rxn04739|rxn04746|rxn06913|rxn06914|rxn07518|rxn11654|rxn11655|rxn11656|rxn11657	1.14.12.12	Enzyme Class
rxn00761|rxn05924|rxn20916|rxn20917|rxn20918	rxn00761|rxn05924	1.14.12.13	Enzyme Class
rxn03496	rxn03496	1.14.12.14	Enzyme Class
rxn03490	rxn03490	1.14.12.15	Enzyme Class
rxn03497|rxn24155	rxn03497	1.14.12.16	Enzyme Class
rxn03990|rxn03991|rxn20769	rxn03990|rxn03991	1.14.12.17	Enzyme Class
rxn03573|rxn03574|rxn03575|rxn03576	rxn03573|rxn03574|rxn03575|rxn03576	1.14.12.18	Enzyme Class
rxn04597|rxn04598	rxn04597|rxn04598	1.14.12.19	Enzyme Class
rxn14170|rxn24416	rxn14170	1.14.12.20	Enzyme Class
rxn16399		1.14.12.21	Enzyme Class
rxn03714|rxn16354|rxn21900		1.14.12.22	Enzyme Class
rxn02526	rxn02526	1.14.12.3	Enzyme Class
rxn02427|rxn02428|rxn17067	rxn02427|rxn02428	1.14.12.4	Enzyme Class
rxn03139	rxn03139	1.14.12.5	Enzyme Class
rxn02593	rxn02593	1.14.12.7	Enzyme Class
rxn01197	rxn01197	1.14.12.8	Enzyme Class
rxn02368|rxn06359	rxn02368|rxn06359	1.14.12.9	Enzyme Class
rxn37696|rxn37801|rxn37802|rxn38345		1.14.13	Enzyme Class
rxn15613		1.14.13.	Enzyme Class
rxn00050|rxn01059|rxn01060|rxn01716|rxn01852|rxn01965|rxn02541|rxn02554|rxn02701|rxn02707|rxn03277|rxn03297|rxn03388|rxn03390|rxn03392|rxn03394|rxn03396|rxn03571|rxn03578|rxn03593|rxn03741|rxn03746|rxn03747|rxn03748|rxn03749|rxn03750|rxn03783|rxn03784|rxn03925|rxn03926|rxn03927|rxn04139|rxn04225|rxn04226|rxn04228|rxn04229|rxn04269|rxn04426|rxn04427|rxn04433|rxn04515|rxn04666|rxn04693|rxn04699|rxn04725|rxn04735|rxn04862|rxn05139|rxn05950|rxn06424|rxn06553|rxn06786|rxn06921|rxn07274|rxn07278|rxn07285|rxn07286|rxn07287|rxn07385|rxn07387|rxn07478|rxn07480|rxn07523|rxn07524|rxn07525|rxn07529|rxn07617|rxn07627|rxn07628|rxn11534|rxn11556|rxn11621|rxn11638|rxn11653|rxn11688|rxn11697|rxn11959|rxn13984|rxn13986|rxn13987|rxn14082|rxn14127|rxn14134|rxn14155|rxn14161|rxn14237|rxn14285|rxn14305|rxn14376|rxn14394|rxn15612|rxn15613|rxn15700|rxn15701|rxn15782|rxn15784|rxn15888|rxn15890|rxn15894|rxn15973|rxn15974|rxn15977|rxn15978|rxn16003|rxn16010|rxn16194|rxn16289|rxn16291|rxn16300|rxn16417|rxn16708|rxn16762|rxn17394|rxn19923|rxn20038|rxn20067|rxn20470|rxn20708|rxn20711|rxn20721|rxn20722|rxn20739|rxn20742|rxn20873|rxn20874|rxn20875|rxn20968|rxn20987|rxn20988|rxn20989|rxn21636|rxn21647|rxn21651|rxn21808|rxn21872|rxn21914|rxn21915|rxn21916|rxn21919|rxn21920|rxn22041|rxn22125|rxn22220|rxn22225|rxn22236|rxn22237|rxn22238|rxn22241|rxn22242|rxn22243|rxn22246|rxn22247|rxn22248|rxn22256|rxn22257|rxn22258|rxn22269|rxn22270|rxn22271|rxn22473|rxn22474|rxn22475|rxn22716|rxn22772|rxn22887|rxn22908|rxn22970|rxn23032|rxn23033|rxn23034|rxn23035|rxn23036|rxn23037|rxn23038|rxn23080|rxn23081|rxn23082|rxn23084|rxn23085|rxn23086|rxn23089|rxn23101|rxn23117|rxn23140|rxn23141|rxn23142|rxn23143|rxn23183|rxn23235|rxn23243|rxn23248|rxn23292|rxn23293|rxn23294|rxn23305|rxn23306|rxn23307|rxn23316|rxn23317|rxn23318|rxn23319|rxn23320|rxn23321|rxn23322|rxn23323|rxn23324|rxn23325|rxn23326|rxn23327|rxn23343|rxn23367|rxn23407|rxn23410|rxn23424|rxn23425|rxn23438|rxn23441|rxn23478|rxn23582|rxn23583|rxn23602|rxn23603|rxn23605|rxn23613|rxn23621|rxn23631|rxn23710|rxn23781|rxn24012|rxn24044|rxn24045|rxn24135|rxn24136|rxn24138|rxn24258|rxn24350|rxn24493|rxn24494|rxn24495|rxn24561|rxn24562|rxn24580|rxn24581|rxn24600|rxn24602|rxn24969|rxn24972|rxn24974|rxn24975|rxn24976|rxn24977|rxn24979|rxn24980|rxn24981|rxn24983|rxn24987|rxn24988|rxn24990|rxn24991|rxn24992|rxn24994|rxn25037|rxn25077|rxn25078|rxn25087|rxn25090|rxn25113|rxn25160|rxn25161|rxn25162|rxn25322|rxn25323|rxn25458|rxn25459|rxn25460|rxn25462|rxn25463|rxn25466|rxn25474|rxn25475|rxn25476|rxn25482|rxn25550|rxn25714|rxn25715|rxn25731|rxn25732|rxn25774|rxn25776|rxn25826|rxn25827|rxn25851|rxn25853|rxn25927|rxn26734|rxn26735|rxn26747|rxn26766|rxn26769|rxn27008|rxn27031|rxn27032|rxn27033|rxn27034|rxn27035|rxn27335|rxn27336|rxn27337|rxn28820|rxn28899|rxn31337|rxn31339|rxn31340|rxn31341|rxn31342|rxn31343|rxn31344|rxn31353|rxn31661|rxn31669|rxn31690|rxn31692|rxn31699|rxn31702|rxn31704|rxn31705|rxn31717|rxn31718|rxn31719|rxn31724|rxn31725|rxn31729|rxn32188|rxn32201|rxn32337|rxn32631|rxn32872|rxn33080|rxn33154|rxn33211|rxn33607|rxn33612|rxn33722|rxn37361|rxn37362|rxn37363|rxn37364|rxn37423|rxn37426|rxn37427|rxn37428|rxn37457|rxn37458|rxn37459|rxn37460	rxn00050|rxn01059|rxn01060|rxn01694|rxn01695|rxn01696|rxn01716|rxn02214|rxn02215|rxn02216|rxn02554|rxn02701|rxn02707|rxn02998|rxn03277|rxn03297|rxn03388|rxn03390|rxn03392|rxn03396|rxn03404|rxn03571|rxn03593|rxn03600|rxn03742|rxn03743|rxn03746|rxn03747|rxn03748|rxn03749|rxn03750|rxn03783|rxn03784|rxn03899|rxn03925|rxn03926|rxn03927|rxn04139|rxn04264|rxn04266|rxn04269|rxn04426|rxn04427|rxn04536|rxn04601|rxn04602|rxn04666|rxn04692|rxn04693|rxn04697|rxn04699|rxn04725|rxn04735|rxn05139|rxn06786|rxn06921|rxn07274|rxn07278|rxn07285|rxn07286|rxn07287|rxn07361|rxn07478|rxn07480|rxn07523|rxn07524|rxn07627|rxn07628|rxn11556|rxn11621|rxn11653|rxn11697|rxn13984|rxn13986|rxn13987|rxn14002|rxn14082|rxn14127|rxn14134|rxn14155|rxn14161|rxn14165|rxn14209|rxn14237|rxn14285|rxn14305|rxn14376|rxn14394	1.14.13.-	Enzyme Class
rxn00589|rxn03906|rxn04724|rxn04745|rxn04748|rxn20843|rxn25932|rxn25934	rxn00589|rxn03906|rxn04724|rxn04745|rxn04748	1.14.13.1	Enzyme Class
rxn02881	rxn02881	1.14.13.10	Enzyme Class
rxn03499|rxn04988|rxn14164|rxn14303	rxn03499|rxn04988|rxn14164|rxn14303	1.14.13.100	Enzyme Class
rxn05101	rxn05101	1.14.13.101	Enzyme Class
rxn11741|rxn24879	rxn11741	1.14.13.102	Enzyme Class
rxn14186|rxn17068|rxn17070|rxn35615|rxn35616|rxn35617	rxn14186	1.14.13.103	Enzyme Class
rxn14129	rxn14129	1.14.13.104	Enzyme Class
rxn04252|rxn04253|rxn04254|rxn04255|rxn04266|rxn13988|rxn16227|rxn16228|rxn16229|rxn25537|rxn25541|rxn25542|rxn25556|rxn25557|rxn25571|rxn25572|rxn25949	rxn13988	1.14.13.105	Enzyme Class
rxn15821|rxn15822|rxn15823|rxn15824|rxn23461		1.14.13.106	Enzyme Class
rxn04264|rxn16222|rxn16226|rxn16230|rxn25549|rxn25551|rxn37412|rxn37413|rxn37414|rxn37415|rxn37416|rxn37417|rxn37418|rxn37419		1.14.13.107	Enzyme Class
rxn04224		1.14.13.108	Enzyme Class
rxn04227		1.14.13.109	Enzyme Class
rxn01611|rxn14020|rxn27340|rxn32026	rxn01611|rxn14020	1.14.13.11	Enzyme Class
rxn15986		1.14.13.110	Enzyme Class
rxn16355		1.14.13.111	Enzyme Class
rxn11687|rxn11688|rxn15700|rxn15701|rxn21353|rxn21400|rxn38325|rxn38326		1.14.13.112	Enzyme Class
rxn16356		1.14.13.113	Enzyme Class
rxn12746|rxn24314		1.14.13.114	Enzyme Class
rxn15897|rxn25768		1.14.13.115	Enzyme Class
rxn15912|rxn25235		1.14.13.116	Enzyme Class
rxn16240|rxn17073|rxn17074		1.14.13.117	Enzyme Class
rxn14165|rxn17075		1.14.13.118	Enzyme Class
rxn16417|rxn17076|rxn35618		1.14.13.119	Enzyme Class
rxn00959|rxn19225	rxn00959	1.14.13.12	Enzyme Class
rxn16419		1.14.13.120	Enzyme Class
rxn16420|rxn16421|rxn23644		1.14.13.121	Enzyme Class
rxn11737|rxn11738|rxn23645		1.14.13.122	Enzyme Class
rxn16391		1.14.13.123	Enzyme Class
rxn14209|rxn16422|rxn16423|rxn16424|rxn16425|rxn23961		1.14.13.124	Enzyme Class
rxn14002|rxn16426|rxn16427|rxn16428|rxn23701		1.14.13.125	Enzyme Class
rxn16357|rxn16358		1.14.13.126	Enzyme Class
rxn04601|rxn04602		1.14.13.127	Enzyme Class
rxn07755|rxn07756|rxn21901		1.14.13.128	Enzyme Class
rxn07361|rxn07389|rxn07390|rxn07392|rxn07399|rxn07400|rxn07403|rxn15689|rxn15692|rxn15706|rxn16595|rxn28313|rxn28386|rxn28387|rxn28804|rxn38394|rxn38449|rxn38450|rxn38451		1.14.13.129	Enzyme Class
rxn02578	rxn02578	1.14.13.13	Enzyme Class
rxn16429		1.14.13.130	Enzyme Class
rxn16628		1.14.13.131	Enzyme Class
rxn02063|rxn06266|rxn27213		1.14.13.132	Enzyme Class
rxn16653|rxn16654|rxn16655		1.14.13.133	Enzyme Class
rxn16656|rxn16657|rxn16658		1.14.13.134	Enzyme Class
rxn03906|rxn16659|rxn23162		1.14.13.135	Enzyme Class
rxn07591|rxn23848		1.14.13.136	Enzyme Class
rxn05113|rxn24186|rxn37271|rxn39037|rxn39038|rxn39039		1.14.13.137	Enzyme Class
rxn05130|rxn24188|rxn37272		1.14.13.138	Enzyme Class
rxn05131|rxn24190|rxn37273		1.14.13.139	Enzyme Class
rxn01612|rxn33332|rxn33342	rxn01612|rxn04970	1.14.13.14	Enzyme Class
rxn05132|rxn24192|rxn37274		1.14.13.140	Enzyme Class
rxn16700|rxn23197		1.14.13.141	Enzyme Class
rxn16701		1.14.13.142	Enzyme Class
rxn16702		1.14.13.143	Enzyme Class
rxn16703|rxn16704|rxn16705|rxn16706|rxn16759		1.14.13.144	Enzyme Class
rxn16707		1.14.13.145	Enzyme Class
rxn16708		1.14.13.146	Enzyme Class
rxn16709		1.14.13.147	Enzyme Class
rxn03899		1.14.13.148	Enzyme Class
rxn16679		1.14.13.149	Enzyme Class
