abbreviation	description	formula	subsystem	ecnumber	keggId	keggorthology	cog	seed	metanetx
DHEAtr	Dehydroepiandrosterone Transport	dhea[r] <=> dhea[c] 	Transport, endoplasmic reticular						MNXR97398
DHFtl	Dihydrofolate Reversible Lysosomal Transport	dhf[c] <=> dhf[l] 	Transport, lysosomal						MNXR97404
DHFtm	Dihydrofolate Reversible Mitochondrial Transport	dhf[c] <=> dhf[m] 	Transport, mitochondrial						MNXR97404
DHORD9	Dihydoorotic Acid Dehydrogenase (Quinone 10)	dhor_S[c] + q10[m] -> orot[c] + q10h2[m] 	Pyrimidine synthesis						MNXR97423
DHPM1	Dihydropyrimidinase (5, 6-Dihydrouracil)	56dura[c] + h2o[c] -> cala[c] + h[c] 	Pyrimidine catabolism	3.5.2.2	R02269	K01464	COG0044	rxn01626	MNXR97432
DHPM2	Dihydropyrimidinase (Dihydrothymine)	56dthm[c] + h2o[c] -> 3uib[c] + h[c] 	Pyrimidine catabolism	3.5.2.2		K01464	COG0044	rxn02190	MNXR97433
DHPR2	6, 7-Dihydropteridine Reduction	5mthf[c] + dhbpt[c] -> h[c] + mlthf[c] + thbpt[c] 	Tetrahydrobiopterin metabolism						MNXR97437
DIDPtn	Transport of dIDP, Nuclear	didp[c] <=> didp[n] 	Transport, nuclear						MNXR97458
DIGALSGALSIDEtg	Digalsgalside Hs Intracellular Transport	digalsgalside_hs[c] <=> digalsgalside_hs[g] 	Transport, golgi apparatus						MNXR97459
DIGALSIDEtg	Digalside Hs Intracellular Transport	digalside_hs[c] <=> digalside_hs[g] 	Transport, golgi apparatus						MNXR97461
DIGALSIDEtl	Digalside Hs Intracellular Transport	digalside_hs[c] <=> digalside_hs[l] 	Transport, lysosomal						MNXR97461
DINt	Deoxyinosine Transport via Diffusion	din[e] <=> din[c] 	Transport, extracellular						MNXR97466
DITPtn	Transport of dITP, Nuclear	ditp[c] <=> ditp[n] 	Transport, nuclear						MNXR97482
DKMPPD	 2, 3-Diketo-5-Methylthio-1-Phosphopentane Degradation Reaction	dkmpp[c] + h2o[c] + o2[c] -> 2kmb[c] + for[c] + 2.0 h[c] + pi[c] 	Arginine and proline metabolism						MNXR97497
D_LACt2	D-Lactate Transport via Proton Symport	h[e] + lac_D[e] <=> h[c] + lac_D[c] 	Transport, extracellular						MNXR97838
D_LACtm	D-Lactate Transport, Mitochondrial	h[c] + lac_D[c] <=> h[m] + lac_D[m] 	Transport, mitochondrial						MNXR97838
DLNLCGCPT1	Carnitine O-Palmitoyltransferase	crn[c] + dlnlcgcoa[c] <=> coa[c] + dlnlcgcrn[c] 	Fatty acid oxidation						MNXR97502
DLNLCGCPT2	Carnitine Transferase	coa[m] + dlnlcgcrn[m] <=> crn[m] + dlnlcgcoa[m] 	Fatty acid oxidation						MNXR97502
DLNLCGCRNt	Transport into the Mitochondria (Carnitine)	dlnlcgcrn[c] <=> dlnlcgcrn[m] 	Fatty acid oxidation						MNXR97503
DLNLCGt	Fatty Acid Transport via Diffusion	dlnlcg[e] <=> dlnlcg[c] 	Transport, extracellular						MNXR97504
DM_13_cis_oretn_n_	13-Cis-Oxo-Retinoic Acid Demand	13_cis_oretn[n] -> 	Exchange/demand reaction						
DM_13_cis_retn_n_	13-Cis-Retinoate Demand	13_cis_retn[n] -> 	Exchange/demand reaction	2.3.1.21					
DM_Asn_X_Ser_Thr_ly_	Demand for Asn-X-Ser/Thr, Lysosomal	Asn_X_Ser_Thr[l] -> 	Exchange/demand reaction						
DM_avite2_c_	Demand for Alpha-Tocotrienol	avite2[c] -> 	Exchange/demand reaction						
DM_bvite_c_	Demand for Beta-Tocopherol	bvite[c] -> 	Exchange/demand reaction						
DM_core5_g_	Demand for Core5, Golgi Apparatus	core5[g] -> 	Exchange/demand reaction						
DM_core7_g_	Demand for Core7, Golgi Apparatus	core7[g] -> 	Exchange/demand reaction						
DM_core8_g_	Demand for Core8, Golgi Apparatus	core8[g] -> 	Exchange/demand reaction						
DM_datp_m_	Demand for dATP	datp[m] -> 	Exchange/demand reaction						
DM_datp_n_	Demand for dATP, Nuclear	datp[n] -> 	Exchange/demand reaction						
DM_dctp_m_	Demand for dCTP	dctp[m] -> 	Exchange/demand reaction						
DM_dctp_n_	Demand for dCTP, Nuclear	dctp[n] -> 	Exchange/demand reaction						
DM_dem2emgacpail_prot_hs_r_	Demand for  Deacylated-(Phosphoethanolaminyl-Dimannosyl),(Phosphoethanolaminyl)-Mannosyl-Glucosaminyl-Acylphosphatidylinositol,  Endoplasmatic Reticulum	dem2emgacpail_prot_hs[r] -> 	Exchange/demand reaction						
DM_dgpi_prot_hs_r_	Demand for  Deacylated-Glycophosphatidylinositol (Gpi)-Anchored Protein,  Endoplasmatic Reticulum	dgpi_prot_hs[r] -> 	Exchange/demand reaction						
DM_dgtp_m_	Demand for dGTP, Mitochondrial	dgtp[m] -> 	Exchange/demand reaction						
DM_dgtp_n_	Demand for dGTP, Nuclear	dgtp[n] -> 	Exchange/demand reaction						
DM_dsT_antigen_g_	Demand for  Disialyl-T Antigen,  Golgi Apparatus	dsT_antigen[g] -> 	Exchange/demand reaction						
DM_dttp_m_	Demand for dTTP	dttp[m] -> 	Exchange/demand reaction						
DM_dttp_n_	Demand for dTTP, Nuclear	dttp[n] -> 	Exchange/demand reaction						
DM_ethamp_r_	Demand for Ethanolamine Phosphate	ethamp[r] -> 	Exchange/demand reaction						
DM_gncore2_g_	Demand for gncore  2, Golgi Apparatus	gncore2[g] -> 	Exchange/demand reaction						
DM_gpi_sig_er_	Demand for  Glycophosphatidylinositol (Gpi) Signal Sequence (C-Terminal Peptide),  Endoplasmatic Reticulum	gpi_sig[r] -> 	Exchange/demand reaction						
DM_hretn_n_	Demand for 4-Hydroxy Retinoic Acid 	hretn[n] -> 	Exchange/demand reaction						
DM_kdn_c_	Demand for  2-Keto-3-Deoxy-D-Glycero-D-Galactononic Acid,  Cytosolic	kdn[c] -> 	Exchange/demand reaction						
DM_m_em_3gacpail_prot_hs_r_	Demand for  Phosphoethanolaminyl-Trimannosyl-Glucosaminyl-Acylphosphatidylinositol (H6),  Endoplasmatic Reticulum	m3gacpail_prot_hs[r] -> 	Exchange/demand reaction						
DM_melanin_c_	Demand for Melanin, Cytosolic	melanin[c] -> 	Exchange/demand reaction						
DM_mem2emgacpail_prot_hs_r_	Demand for  ({[(mannosyl),(phosphoethanolaminyl)]-dimannosyl},{phosphoethanolaminyl})-mannosyl-glucosaminyl-acylphosphatidylinositol-Protein (M4B),  Endoplasmatic Reticulum	mem2emgacpail_prot_hs[r] -> 	Exchange/demand reaction						
DM_n5m2masn_g_	Demand for  ((N-Acetyl-D-Glucosaminyl)5-(Alpha-D-Mannosyl)2-Beta-D-Mannosyl-Diacetylchitobiosyl)-L-Asparagine (Protein),  Golgi Apparatus	n5m2masn[g] -> 	Exchange/demand reaction						
DM_oretn_n_	Demand for 4-Oxo-Retonoic Acid 	oretn[n] -> 	Exchange/demand reaction						
DM_Ser_Thr_ly_	Demand for Ser/Thr, Lysosomal	Ser_Thr[l] -> 	Exchange/demand reaction						
DM_Ser_Gly_Ala_X_Gly_ly_	Demand for Ser-Gly/Ala-X-Gly, Lysosomal	Ser_Gly_Ala_X_Gly[l] -> 	Exchange/demand reaction						
DM_sprm_c_	Demand for  Spermine,  Cytosolic	sprm[c] -> 	Exchange/demand reaction						
DM_sTn_antigen_g_	Demand for  Sialyl-Tn Antigen,  Golgi Apparatus	sTn_antigen[g] -> 	Exchange/demand reaction						
DM_T_antigen_g_	Demand for  T-Antigen (Core 1),  Golgi Apparatus	T_antigen[g] <=> 	Exchange/demand reaction						
DM_yvite_c_	Demand for Gamma-Tocopherol 	yvite[c] -> 	Exchange/demand reaction						
DMANTIPYRINEte	Transport of Demethylated Antipyrine	dmantipyrine[e] <=> dmantipyrine[c] 	Transport, extracellular						MNXR97510
DMATTx	Dimethylallyltranstransferase	dmpp[x] + ipdp[x] -> grdp[x] + ppi[x] 	Cholesterol metabolism	2.5.1.1	R01658				MNXR97512
DMGDHm	Dimethylglycine Dehydrogenase, Mitochondrial	dmgly[m] + fad[m] + h2o[m] -> fadh2[m] + fald[m] + sarcs[m] 	Glycine, serine, alanine, and threonine metabolism						MNXR97518
DMGtm	Transport of Dimethylglycine via Diffusion, Mitochondrial	dmgly[c] <=> dmgly[m] 	Transport, mitochondrial						MNXR97519
DMHPTCRNCPT1	Carnitine Fatty-Acyl Transferase	crn[c] + dmhptcoa[c] <=> coa[c] + dmhptcrn[c] 	Fatty acid oxidation	2.3.1.21					
DMHPTCRNCPT2	2, 6 Dimethylheptanoly Coenzyme A Carnitine Transferase	coa[m] + dmhptcrn[m] <=> crn[m] + dmhptcoa[m] 	Fatty acid oxidation						MNXR97521
DMHPTCRNt	Transport of 2, 6 Dimethylheptanoyl Carnitine, Mitochondrial	dmhptcrn[c] <=> dmhptcrn[m] 	Fatty acid oxidation						MNXR97522
DMHPTCRNte	Transport of 2, 6 Dimethylheptanoyl Carnitine, Extracellular	dmhptcrn[c] <=> dmhptcrn[e] 	Transport, extracellular						MNXR97522
DMNONCOACRNCPT1	Dmnoncoacrncpt1	crn[c] + dmnoncoa[c] <=> coa[c] + dmnoncrn[c] 	Fatty acid oxidation						MNXR96377
DMNONCRNCPT2	Dmnoncrncpt2	coa[m] + dmnoncrn[m] <=> crn[m] + dmnoncoa[m] 	Fatty acid oxidation						
DMNONCRNt	4, 8 Dimethylnonanoyl Carnitine Transport, Mitochondrial	dmnoncrn[c] <=> dmnoncrn[m] 	Fatty acid oxidation						MNXR96433
DNADtn	Transport of DNAD, Nuclear through Pore	dnad[c] <=> dnad[n] 	Transport, nuclear						MNXR97625
DNAMTn	DNA (Cytosine-5-)-Methyltransferase, Nucleus	amet[n] + dna[n] -> ahcys[n] + dna5mtc[n] + h[n] 	Methionine and cysteine metabolism	2.1.1.37					
DNAMTSEn	DNA (Cytosine-5-)-Methyltransferase, Nucleus	dna[n] + seasmet[n] -> dna5mtc[n] + h[n] + seahcys[n] 	Selenoamino acid metabolism	2.1.1.37					
DNDPt10m	Transport of dADP via dCDP Antiport	dadp[c] + dcdp[m] -> dadp[m] + dcdp[c] 	Transport, mitochondrial						MNXR97628
DNDPt11m	Transport of dADP via dGDP Antiport	dadp[c] + dgdp[m] -> dadp[m] + dgdp[c] 	Transport, mitochondrial						MNXR97629
DNDPt12m	Transport of dADP via ADP Antiport	adp[m] + dadp[c] -> adp[c] + dadp[m] 	Transport, mitochondrial						MNXR97630
DNDPt13m	Transport of dADP via ATP Antiport	atp[m] + dadp[c] -> atp[c] + dadp[m] 	Transport, mitochondrial						MNXR97631
DNDPt14m	Transport of dUDP via dTDP Antiport	dtdp[m] + dudp[c] -> dtdp[c] + dudp[m] 	Transport, mitochondrial						MNXR97632
DNDPt15m	Transport of dUDP via dGDP Antiport	dgdp[m] + dudp[c] -> dgdp[c] + dudp[m] 	Transport, mitochondrial						MNXR97633
DNDPt16m	Transport of dUDP via dADP Antiport	dadp[m] + dudp[c] -> dadp[c] + dudp[m] 	Transport, mitochondrial						MNXR97634
DNDPt17m	Transport of dUDP via dCDP Antiport	dcdp[m] + dudp[c] -> dcdp[c] + dudp[m] 	Transport, mitochondrial						MNXR97635
DNDPt18m	Transport of dUDP via ADP Antiport	adp[m] + dudp[c] -> adp[c] + dudp[m] 	Transport, mitochondrial						MNXR97636
DNDPt19m	Transport of dUDP via ATP Antiport	atp[m] + dudp[c] -> atp[c] + dudp[m] 	Transport, mitochondrial						MNXR97637
DNDPt1m	Transport of dATP via ADP Antiport	adp[m] + datp[c] -> adp[c] + datp[m] 	Transport, mitochondrial						MNXR97638
DNDPt20m	Transport of dTDP via ATP Antiport	atp[m] + dtdp[c] -> atp[c] + dtdp[m] 	Transport, mitochondrial						MNXR97639
DNDPt21m	Transport of dTDP via ADP Antiport	adp[m] + dtdp[c] -> adp[c] + dtdp[m] 	Transport, mitochondrial						MNXR97640
DNDPt22m	Transport of dTDP via dUDP Antiport	dtdp[c] + dudp[m] -> dtdp[m] + dudp[c] 	Transport, mitochondrial						
DNDPt23m	Transport of dTDP via dGTP Antiport	dgdp[m] + dtdp[c] -> dgdp[c] + dtdp[m] 	Transport, mitochondrial						MNXR97641
DNDPt24m	Transport of dTDP via dADP Antiport	dadp[m] + dtdp[c] -> dadp[c] + dtdp[m] 	Transport, mitochondrial						MNXR97642
DNDPt25m	Transport of dTDP via dCDP Antiport	dcdp[m] + dtdp[c] -> dcdp[c] + dtdp[m] 	Transport, mitochondrial						MNXR97643
DNDPt26m	Transport of dCDP via dUDP Antiport	dcdp[c] + dudp[m] -> dcdp[m] + dudp[c] 	Transport, mitochondrial						
DNDPt27m	Transport of dCDP via dTDP Antiport	dcdp[c] + dtdp[m] -> dcdp[m] + dtdp[c] 	Transport, mitochondrial						
DNDPt28m	Transport of dCDP via dGDP Antiport	dcdp[c] + dgdp[m] -> dcdp[m] + dgdp[c] 	Transport, mitochondrial						MNXR97644
DNDPt29m	Transport of dCDP via dADP Antiport	dadp[m] + dcdp[c] -> dadp[c] + dcdp[m] 	Transport, mitochondrial						
DNDPt2m	Transport of dATP via ATP Antiport	atp[m] + datp[c] -> atp[c] + datp[m] 	Transport, mitochondrial						MNXR97645
DNDPt30m	Transport of dCDP via ADP Antiport	adp[m] + dcdp[c] -> adp[c] + dcdp[m] 	Transport, mitochondrial						MNXR97646
DNDPt31m	Transport of dCDP via ATP Antiport	atp[m] + dcdp[c] -> atp[c] + dcdp[m] 	Transport, mitochondrial						MNXR97647
DNDPt32m	Transport of dGDP via ATP Antiport	atp[m] + dgdp[c] -> atp[c] + dgdp[m] 	Transport, mitochondrial						MNXR97648
DNDPt33m	Transport of dGDP via dUDP Antiport	dgdp[c] + dudp[m] -> dgdp[m] + dudp[c] 	Transport, mitochondrial						
DNDPt34m	Transport of dGDP via dTDP Antiport	dgdp[c] + dtdp[m] -> dgdp[m] + dtdp[c] 	Transport, mitochondrial						
DNDPt35m	Transport of dGDP via dADP Antiport	dadp[m] + dgdp[c] -> dadp[c] + dgdp[m] 	Transport, mitochondrial						
DNDPt36m	Transport of dGDP via dCDP Antiport	dcdp[m] + dgdp[c] -> dcdp[c] + dgdp[m] 	Transport, mitochondrial						
DNDPt37m	Transport of dUTP via dTDP Antiport	dtdp[m] + dutp[c] -> dtdp[c] + dutp[m] 	Transport, mitochondrial						MNXR97649
DNDPt38m	Transport of dUTP via dUDP Antiport	dudp[m] + dutp[c] -> dudp[c] + dutp[m] 	Transport, mitochondrial						MNXR97650
DNDPt39m	Transport of dUTP via dGDP Antiport	dgdp[m] + dutp[c] -> dgdp[c] + dutp[m] 	Transport, mitochondrial						MNXR97651
DNDPt3m	Transport of dATP via dCDP Antiport	datp[c] + dcdp[m] -> datp[m] + dcdp[c] 	Transport, mitochondrial						MNXR97652
DNDPt40m	Transport of dUTP via dADP Antiport	dadp[m] + dutp[c] -> dadp[c] + dutp[m] 	Transport, mitochondrial						MNXR97653
DNDPt41m	Transport of dUTP via dCDP Antiport	dcdp[m] + dutp[c] -> dcdp[c] + dutp[m] 	Transport, mitochondrial						MNXR97654
DNDPt42m	Transport of dUTP via ADP Antiport	adp[m] + dutp[c] -> adp[c] + dutp[m] 	Transport, mitochondrial						MNXR97655
DNDPt43m	Transport of dUTP via ATP Antiport	atp[m] + dutp[c] -> atp[c] + dutp[m] 	Transport, mitochondrial						MNXR97656
DNDPt44m	Transport of dTTP via ATP Antiport	atp[m] + dttp[c] -> atp[c] + dttp[m] 	Transport, mitochondrial						MNXR97657
DNDPt45m	Transport of dTTP via ADP Antiport	adp[m] + dttp[c] -> adp[c] + dttp[m] 	Transport, mitochondrial						MNXR97658
DNDPt46m	Transport of dTTP via dUDP Antiport	dttp[c] + dudp[m] -> dttp[m] + dudp[c] 	Transport, mitochondrial						MNXR97659
DNDPt47m	Transport of dTTP via dTDP Antiport	dtdp[m] + dttp[c] -> dtdp[c] + dttp[m] 	Transport, mitochondrial						MNXR97660
DNDPt48m	Transport of dTTP via dGDP Antiport	dgdp[m] + dttp[c] -> dgdp[c] + dttp[m] 	Transport, mitochondrial						MNXR97661
DNDPt49m	Transport of dTTP via dADP Antiport	dadp[m] + dttp[c] -> dadp[c] + dttp[m] 	Transport, mitochondrial						MNXR97662
DNDPt4m	Transport of dATP via dUDP Antiport	datp[c] + dudp[m] -> datp[m] + dudp[c] 	Transport, mitochondrial						MNXR97663
DNDPt50m	Transport of dTTP via dCDP Antiport	dcdp[m] + dttp[c] -> dcdp[c] + dttp[m] 	Transport, mitochondrial						MNXR97664
DNDPt51m	Transport of dCTP via dCDP Antiport	dcdp[m] + dctp[c] -> dcdp[c] + dctp[m] 	Transport, mitochondrial						MNXR97204
DNDPt52m	Transport of dCTP via dUDP Antiport	dctp[c] + dudp[m] -> dctp[m] + dudp[c] 	Transport, mitochondrial						MNXR97665
DNDPt53m	Transport of dCTP via dGDP Antiport	dctp[c] + dgdp[m] -> dctp[m] + dgdp[c] 	Transport, mitochondrial						MNXR97666
DNDPt54m	Transport of dCTP via dADP Antiport	dadp[m] + dctp[c] -> dadp[c] + dctp[m] 	Transport, mitochondrial						MNXR97667
DNDPt55m	Transport of dCTP via ADP Antiport	adp[m] + dctp[c] -> adp[c] + dctp[m] 	Transport, mitochondrial						MNXR97668
DNDPt56m	Transport of dCTP via ATP Antiport	atp[m] + dctp[c] -> atp[c] + dctp[m] 	Transport, mitochondrial						MNXR97669
DNDPt57m	Transport of dGTP via ATP Antiport	atp[m] + dgtp[c] -> atp[c] + dgtp[m] 	Transport, mitochondrial						MNXR97670
DNDPt58m	Transport of dGTP via ADP Antiport	adp[m] + dgtp[c] -> adp[c] + dgtp[m] 	Transport, mitochondrial						MNXR97671
DNDPt59m	Transport of dGTP via dADP Antiport	dadp[m] + dgtp[c] -> dadp[c] + dgtp[m] 	Transport, mitochondrial						MNXR97672
DNDPt5m	Transport of dATP via dTDP Antiport	datp[c] + dtdp[m] -> datp[m] + dtdp[c] 	Transport, mitochondrial						MNXR97673
DNDPt60m	Transport of dGTP via dUDP Antiport	dgtp[c] + dudp[m] -> dgtp[m] + dudp[c] 	Transport, mitochondrial						MNXR97674
DNDPt61m	Transport of dGTP via dTDP Antiport	dgtp[c] + dtdp[m] -> dgtp[m] + dtdp[c] 	Transport, mitochondrial						MNXR97675
DNDPt62m	Transport of dGTP via dGDP Antiport	dgdp[m] + dgtp[c] -> dgdp[c] + dgtp[m] 	Transport, mitochondrial						MNXR97327
DNDPt63m	Transport of dGTP via dCDP Antiport	dcdp[m] + dgtp[c] -> dcdp[c] + dgtp[m] 	Transport, mitochondrial						MNXR97676
DNDPt6m	Transport of dATP via dGDP Antiport	datp[c] + dgdp[m] -> datp[m] + dgdp[c] 	Transport, mitochondrial						MNXR97677
DNDPt7m	Transport of dATP via dADP Antiport	dadp[m] + datp[c] -> dadp[c] + datp[m] 	Transport, mitochondrial						MNXR97175
DNDPt8m	Transport of dADP via dUDP Antiport	dadp[c] + dudp[m] -> dadp[m] + dudp[c] 	Transport, mitochondrial						
DNDPt9m	Transport of dADP via dTDP Antiport	dadp[c] + dtdp[m] -> dadp[m] + dtdp[c] 	Transport, mitochondrial						
DOGULND1	2, 3-Dioxo-L-Gulonate Decarboxylase (L-Lyxonate-Forming)	23doguln[c] + h2o[c] -> co2[c] + lyxnt[c] 	Vitamin C metabolism						
DOGULND2	2, 3-Dioxo-L-Gulonate Decarboxylase (L-Xylonate-Forming)	23doguln[c] + h2o[c] -> co2[c] + xylnt[c] 	Vitamin C metabolism						
DOGULNO1	2, 3-Dioxo-L-Gulonate:Hydrogen Peroxide Oxireductase	23doguln[c] + h2o2[c] -> 2.0 h[c] + oxa[c] + thrnt[c] 	Vitamin C metabolism						MNXR97686
DOGULNO2	2, 3-Dioxo-L-Gulonate:Hydrogen Peroxide Oxireductase	23doguln[c] + h2o[c] -> eryth[c] + h[c] + oxa[c] 	Vitamin C metabolism						
DOLASNT_Ler	Dolichyl-Diphosphooligosaccharide:Protein-L-Asparagine Oligopolysaccharidotransferase (Liver)	Asn_X_Ser_Thr[r] + 0.1 g3m8mpdol_L[r] -> 0.1 doldp_L[r] + g3m8masn[r] + h[r] 	N-glycan synthesis	2.4.1.119					
DOLASNT_Uer	Dolichyl-Diphosphooligosaccharide:Protein-L-Asparagine Oligopolysaccharidotransferase (Uterus)	Asn_X_Ser_Thr[r] + 0.1 g3m8mpdol_U[r] -> 0.1 doldp_U[r] + g3m8masn[r] + h[r] 	N-glycan synthesis	2.4.1.119					
DOLDPP_Ler	Dolichyl-Diphosphate Phosphohydrolase, Human (Liver)	0.1 doldp_L[r] + h2o[r] -> 0.1 dolp_L[r] + h[r] + pi[r] 	N-glycan synthesis	3.6.1.43					
DOLDPP_Uer	Dolichyl-Diphosphate Phosphohydrolase, Human (Uterus)	0.1 doldp_U[r] + h2o[r] -> 0.1 dolp_U[r] + h[r] + pi[r] 	N-glycan synthesis	3.6.1.43					
DOLGLCP_Lter	Dolichyl Beta-D-Glucosyl Phosphate Flippase (Liver)	0.1 dolglcp_L[c] -> 0.1 dolglcp_L[r] 	N-glycan synthesis						MNXR97697
DOLGLCP_Uter	Dolichyl Beta-D-Glucosyl Phosphate Flippase (Uterus)	0.1 dolglcp_U[c] -> 0.1 dolglcp_U[r] 	N-glycan synthesis						
DOLGPP_Ler	Dolichyl-Beta-D-Glucosyl-Phosphate Dolichylphosphohydrolase (Liver)	0.1 dolglcp_L[r] + h2o[r] -> 0.1 dolp_L[r] + glc_D[r] + h[r] 	N-glycan synthesis						MNXR97700
DOLGPP_Uer	Dolichyl-Beta-D-Glucosyl-Phosphate Dolichylphosphohydrolase (Uterus)	0.1 dolglcp_U[r] + h2o[r] -> 0.1 dolp_U[r] + glc_D[r] + h[r] 	N-glycan synthesis	3.1.4.48					
DOLICHOL_Lter	Dolichol Diffusion, Human (Liver)	0.1 dolichol_L[r] <=> 0.1 dolichol_L[c] 	N-glycan synthesis						MNXR97703
DOLICHOL_Uter	Dolichol Diffusion, Human (Uterus)	0.1 dolichol_U[r] <=> 0.1 dolichol_U[c] 	N-glycan synthesis						MNXR97704
DOLK_L	Dolichol Kinase, Human (Liver)	ctp[c] + 0.1 dolichol_L[c] -> cdp[c] + 0.1 dolp_L[c] + h[c] 	N-glycan synthesis						MNXR97707
DOLK_U	Dolichol Kinase, Human (Uterus)	ctp[c] + 0.1 dolichol_U[c] -> cdp[c] + 0.1 dolp_U[c] + h[c] 	N-glycan synthesis						MNXR97708
DOLMANP_Lter	Dolichol-Phosphate Mannose Flippase (Liver)	0.1 dolmanp_L[c] -> 0.1 dolmanp_L[r] 	N-glycan synthesis	3.1.4.48					
DOLMANP_Uter	Dolichol-Phosphate Mannose Flippase (Uterus)	0.1 dolmanp_U[c] -> 0.1 dolmanp_U[r] 	N-glycan synthesis						MNXR97710
DOLP_Lter	Dolichol Phosphate Flippase (Liver)	0.1 dolglcp_L[r] + 0.1 m8mpdol_L[r] -> 0.1 dolp_L[r] + 0.1 g1m8mpdol_L[r] + h[r] 	N-glycan synthesis						MNXR97746
DOLP_Uter	Dolichol Phosphate Flippase (Uterus)	0.1 dolglcp_U[r] + 0.1 m8mpdol_U[r] -> 0.1 dolp_U[r] + 0.1 g1m8mpdol_U[r] + h[r] 	N-glycan synthesis						MNXR97747
DOLPGT1_Ler	Dolichyl-Phosphate-Glucose-Glycolipid Alpha-Glucosyltransferase (Liver)	0.1 dolglcp_L[r] + 0.1 g1m8mpdol_L[r] -> 0.1 dolp_L[r] + 0.1 g2m8mpdol_L[r] + h[r] 	N-glycan synthesis	2.7.1.108					
DOLPGT1_Uer	Dolichyl-Phosphate-Glucose-Glycolipid Alpha-Glucosyltransferase (Uterus)	0.1 dolglcp_U[r] + 0.1 g1m8mpdol_U[r] -> 0.1 dolp_U[r] + 0.1 g2m8mpdol_U[r] + h[r] 	N-glycan synthesis	2.7.1.108					
DOLPGT2_Ler	Dolichyl-Phosphate-Glucose-Glycolipid Alpha-Glucosyltransferase (Liver)	0.1 dolglcp_L[r] + 0.1 g2m8mpdol_L[r] -> 0.1 dolp_L[r] + 0.1 g3m8mpdol_L[r] + h[r] 	N-glycan synthesis						
DOLPGT2_Uer	Dolichyl-Phosphate-Glucose-Glycolipid Alpha-Glucosyltransferase (Uterus)	0.1 dolglcp_U[r] + 0.1 g2m8mpdol_U[r] -> 0.1 dolp_U[r] + 0.1 g3m8mpdol_U[r] + h[r] 	N-glycan synthesis						
DOLPGT3_Ler	Dolichyl-Phosphate-Glucose-Glycolipid Alpha-Glucosyltransferase (Liver)	0.1 dolp_L[r] + h2o[r] -> 0.1 dolichol_L[r] + pi[r] 	N-glycan synthesis						
DOLPGT3_Uer	Dolichyl-Phosphate-Glucose-Glycolipid Alpha-Glucosyltransferase (Uterus)	0.1 dolp_U[r] + h2o[r] -> 0.1 dolichol_U[r] + pi[r] 	N-glycan synthesis						
DOLPH_Ler	Dolichol-Phosphate Phosphohydrolase, Human (Liver)	0.1 dolmanp_L[r] + 0.1 m4mpdol_L[r] -> 0.1 dolp_L[r] + h[r] + 0.1 m5mpdol_L[r] 	N-glycan synthesis						MNXR97724
DOLPH_Uer	Dolichol-Phosphate Phosphohydrolase, Human (Uterus)	0.1 dolmanp_U[r] + 0.1 m4mpdol_U[r] -> 0.1 dolp_U[r] + h[r] + 0.1 m5mpdol_U[r] 	N-glycan synthesis						MNXR97725
DOLPMT_L	Dolichyl-Phosphate D-Mannosyltransferase (Liver)	0.1 dolmanp_L[r] + 0.1 m5mpdol_L[r] -> 0.1 dolp_L[r] + h[r] + 0.1 m6mpdol_L[r] 	N-glycan synthesis	2.4.1.83					
DOLPMT_U	Dolichyl-Phosphate D-Mannosyltransferase (Uterus)	0.1 dolmanp_U[r] + 0.1 m5mpdol_U[r] -> 0.1 dolp_U[r] + h[r] + 0.1 m6mpdol_U[r] 	N-glycan synthesis						MNXR97744
DOLPMT1_Ler	Dolichyl-Phosphate-Mannose-Glycolipid Alpha-Mannosyltransferase (Liver)	0.1 dolmanp_L[r] + 0.1 m6mpdol_L[r] -> 0.1 dolp_L[r] + h[r] + 0.1 m7mpdol_L[r] 	N-glycan synthesis	2.4.1.130					
DOLPMT1_Uer	Dolichyl-Phosphate-Mannose-Glycolipid Alpha-Mannosyltransferase (Uterus)	0.1 dolmanp_U[r] + 0.1 m6mpdol_U[r] -> 0.1 dolp_U[r] + h[r] + 0.1 m7mpdol_U[r] 	N-glycan synthesis	2.4.1.130					
DOLPMT2_Ler	Dolichyl-Phosphate-Mannose-Glycolipid Alpha-Mannosyltransferase (Liver)	0.1 dolmanp_L[r] + 0.1 m7mpdol_L[r] -> 0.1 dolp_L[r] + h[r] + 0.1 m8mpdol_L[r] 	N-glycan synthesis	2.4.1.130					
DOLPMT2_Uer	Dolichyl-Phosphate-Mannose-Glycolipid Alpha-Mannosyltransferase (Uterus)	0.1 dolmanp_U[r] + 0.1 m7mpdol_U[r] -> 0.1 dolp_U[r] + h[r] + 0.1 m8mpdol_U[r] 	N-glycan synthesis	2.4.1.130					
DOLPMT3_Ler	Dolichyl-Phosphate-Mannose-Glycolipid Alpha-Mannosyltransferase (Liver)	0.1 dolp_L[c] + gdpmann[c] -> 0.1 dolmanp_L[c] + gdp[c] 	N-glycan synthesis	2.4.1.130					
DOLPMT3_Uer	Dolichyl-Phosphate-Mannose-Glycolipid Alpha-Mannosyltransferase (Uterus)	0.1 dolp_U[c] + gdpmann[c] -> 0.1 dolmanp_U[c] + gdp[c] 	N-glycan synthesis	2.4.1.130					
