abbreviation,addedBy,biggId,charge,chargedFormula,cheBlId,cheBlId2,description,ehmnId,fullName,hepatonetId,hmdb,inchiString,keggId,lastModified,lmId,met_id,miriam,modifiedBy,neutralFormula,pdmapName,pubChemId,reconMap,smile,synonyms,url
4nphsf,,,-1,C6H4NO6S,CHEBI:35422,,"Human Metabolome Database (HMDB): 4-Nitrophenyl sulfate is a minor metabolic byproduct of parathion metabolism that is excreted in the urine (PMID: 1956875). Parathion is an organophosphate compound developed in the 1940's. It is a potent insecticide and acaricide. It is highly toxic to non-target organisms, including humans. 4-Nitrophenyl sulfate is also used as a model substrate to investigate the influence of drug therapy, disease, nutrient deficiencies and other physiologically altered conditions on conjugative drug metabolism in animal studies.(PMID: 16844228).",,4-Nitrophenyl sulfate,,HMDB06492,"InChI=1S/C6H5NO6S/c8-7(9)5-1-3-6(4-2-5)13-14(10,11)12/h1-4H,(H,10,11,12)",,2016-12-05T15:48:04Z,,115,,,,,,4nphsf,,"4-Nitrophenyl, Mono (4-nitrophenyl)-sulfate, Mono (4-nitrophenyl)-sulphate, p-Nitro-Phenol, P-Nitrophenol sulfate, P-Nitrophenol sulphate, P-Nitrophenyl sulfate, P-Nitrophenyl sulphate, Para-nitrophenyl sulfate, Para-nitrophenyl sulphate",http://vmh.uni.lu/_api/metabolites/115/?format=pcsv
4nph,,,0,C6H5NO3,CHEBI:16836,,4-nitrophenolate,,4-nitrophenolate,,,"InChI=1S/C6H5NO3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H",C00870,2016-11-22T15:11:45Z,,116,,,,,,4nph,,,http://vmh.uni.lu/_api/metabolites/116/?format=pcsv
4pyrdx,,,0,C8H9NO4,CHEBI:17405,,"Human Metabolome Database (HMDB): 4-Pyridoxic acid is the catabolic product of vitamin B6 (also known as pyridoxine, pyridoxal and pyradoxamine) which is excreted in the urine. Urinary levels of 4-pyridoxic acid are lower in females than in males and will be reduced in persons with riboflavin deficiency. 4-Pyridoxic acid is formed by the action of aldehyde oxidase I (an endogenous enzyme) and by microbial enzymes (pyridoxal 4-dehydrogenase), an NAD-dependent aldehyde dehydrogenase. 4-pyridoxic acid can be further broken down by the gut microflora via 4-pyridoxic acid dehydrogenase. This enzyme catalyzes the four electron oxidation of 4-pyridoxic acid to 3-hydroxy-2-methylpyridine-4,5-dicarboxylate, using nicotinamide adenine dinucleotide as a cofactor.",,4-pyridoxate,,HMDB00017,"InChI=1S/C8H9NO4/c1-4-7(11)6(8(12)13)5(3-10)2-9-4/h2,10-11H,3H2,1H3,(H,12,13)",C00847,2016-12-05T15:48:04Z,,117,,,,,,4pyrdx,,"2-Methyl-3-hydroxy-4-carboxy-5-hydroxymethylpyridine, 3-Hydroxy-5-(hydroxymethyl)-2-methyl-4-pyridinecarboxylate, 3-Hydroxy-5-(hydroxymethyl)-2-methyl-4-pyridinecarboxylic acid, 3-Hydroxy-5-(hydroxymethyl)-2-methyl-Isonicotinate, 3-Hydroxy-5-(hydroxymethyl)-2-methyl-Isonicotinic acid, 3-Hydroxy-5-(hydroxymethyl)-2-methylisonicotinate, 3-Hydroxy-5-(hydroxymethyl)-2-methylisonicotinic acid, 3-Hydroxy-5-hydroxymethyl-2-methyl-isonicotinate, 3-Hydroxy-5-hydroxymethyl-2-methyl-isonicotinic acid, 3-Hydroxy-5-hydroxymethyl-2-methyl-isonicotinsaeure, 4-Pyridoxate, 4-Pyridoxinate, 4-Pyridoxinecarboxylate, 4-Pyridoxinecarboxylic acid, 4-Pyridoxinic acid, 4-Pyridoxinsaeure, 4-Pyridoxylate, 4-Pyridoxylic acid",http://vmh.uni.lu/_api/metabolites/117/?format=pcsv
5adtststeroneglc,,,0,C25H38O8,,,"Human Metabolome Database (HMDB): 5-alpha-Dihydrotestosterone glucuronide is a natural human metabolite of 5alpha-Dihydrotestosterone generated in the liver by UDP glucuonyltransferase. Glucuronidation is used to assist in the excretion of toxic substances, drugs or other substances that cannot be used as an energy source. Glucuronic acid is attached via a glycosidic bond to the substance, and the resulting glucuronide, which has a much higher water solubility than the original substance, is eventually excreted by the kidneys.",,5alpha-Dihydrotestosterone glucuronide,,HMDB06203,"InChI=1/C25H38O8/c1-24-9-7-13(26)11-12(24)3-4-14-15-5-6-17(25(15,2)10-8-16(14)24)32-23-20(29)18(27)19(28)21(33-23)22(30)31/h12,14-21,23,27-29H,3-11H2,1-2H3,(H,30,31)/t12-,14-,15-,16-,17-,18-,19-,20+,21-,23+,24-,25-/m0/s1",C03033,2016-12-05T15:48:04Z,,118,,,,,44263365,5adtststeroneglc,,"5-a-Dihydrotestosterone glucuronide, 5-alpha-Dihydrotestosterone glucuronide, 5alpha-Dihydrotestosterone glucuronide, Dihydrotestosterone 17-glucuronide, Dihydrotestosterone glucuronide, Stanolone glucuronate",http://vmh.uni.lu/_api/metabolites/118/?format=pcsv
5adtststerones,,,-1,C19H29O5S,,,"Human Metabolome Database (HMDB): 5a-Dihydrotestosterone sulfate is a sulfate derivative of 5a-Dihydrotestosterone produced through phase II metabolism. 5a-dihydrotestosterone (DHT) is a steroid similar to testosterone and androstenedione, that belongs to a class called androgens. DHT is a C19 steroid and possesses androgenic activity. Androgen production takes place mainly in the Leydig cells of the testes. Androgens circulate in the blood bound to proteins, especially sex hormone binding globulin (SHBG) and albumin. A trace amount of these steroids circulate in the unbound form in the blood and are referred to as the free fractions. DHT has at least three times the binding affinity for SHBG than testosterone. About 70% of DHT is derived from peripheral conversion of testosterone in males, while most of the DHT is derived from androstenedione in females.",,5alpha-Dihydrotestosterone sulfate,,HMDB06278,"InChI=1/C19H30O5S/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(24-25(21,22)23)19(15,2)10-8-16(14)18/h12,14-17H,3-11H2,1-2H3,(H,21,22,23)/t12-,14-,15-,16-,17-,18-,19-/m0/s1",,2016-12-05T15:48:04Z,,119,,,,,18665256,5adtststerones,,"5alpha-Dihydrotestosterone sulfate, 5alpha-Dihydrotestosterone sulphate, DHT-sulfate, DHT-sulphate, Dihydrotestosterone sulfate, Dihydrotestosterone sulphate",http://vmh.uni.lu/_api/metabolites/119/?format=pcsv
5adtststerone,,,0,C19H30O2,CHEBI:16330,,"Human Metabolome Database (HMDB): Dihydrotestosterone is a potent androgenic metabolite of testosterone. Dihydrotestosterone (DHT) is generated by a 5-alpha reduction of testosterone. Unlike testosterone, DHT cannot be aromatized to estradiol therefore DHT is considered a pure androgenic steroid. -- Pubchem; Dihydrotestosterone (DHT) (INN: androstanolone) is a biologically active metabolite of the hormone testosterone, formed primarily in the prostate gland, testes, hair follicles, and adrenal glands by the enzyme 5-alpha-reductase by means of reducing the alpha 4,5 double-bond. Dihydrotestosterone belongs to the class of compounds called androgens, also commonly called androgenic hormones or testoids. DHT is thought to be approximately 30 times more potent than testosterone because of increased affinity to the androgen receptor. -- Wikipedia.",,17beta-hydroxy-5alpha-androstan-3-one,,HMDB02961,"InChI=1S/C19H30O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h12,14-17,21H,3-11H2,1-2H3/t12-,14-,15-,16-,17-,18-,19-/m0/s1",C03917,2016-12-05T15:48:04Z,,120,,,,,10635,5adtststerone,,"17-Hydroxy-androstan-3-one, 17-Hydroxyandrostan-3-one, 17b-Hydroxy-3-androstanone, 17beta-hydroxy-5alpha-androstan-3-one, 17beta-Hydroxyandrostan-3-one, 4,5a-Dihydrotestosterone, 4-Dihydrotestosterone, 5-a-Androstanolone, 5-alpha-Androstanolone, 5a-Androstan-17b-ol-3-one, 5A-Androstan-3-on-17B-ol, 5a-Dihydrotestosterone, 5alpha-androstan-17beta-ol-3-one, 5alpha-Dihydrotestosterone, 5B-Androstan-3-on-17B-ol, Anaboleen, Anabolex, Andractim, Androlone, Androstalone, Androstanolone, Cristerona MB, DHT, Dihydrotestosterone, Drolban, Neodrol, Proteina, Protona, Stanaprol, Stanolone, Stanorone",http://vmh.uni.lu/_api/metabolites/120/?format=pcsv
5aop,,,0,C5H9NO3,CHEBI:17549,,"Human Metabolome Database (HMDB): 5-Aminolevulinic acid is an intermediate in heme synthesis. This is the first compound in the porphyrin synthesis pathway. It is produced by the enzyme ALA synthase, from glycine and succinyl CoA. This reaction is known as the Shemin pathway. Aminolevulinic acid plus blue light illumination using a blue light photodynamic therapy illuminator is indicated for the treatment of minimally to moderately thick actinic keratoses of the face or scalp.",,5-Amino-4-oxopentanoate,,HMDB01149,"InChI=1S/C5H9NO3/c6-3-4(7)1-2-5(8)9/h1-3,6H2,(H,8,9)",C00430,2016-12-05T15:48:04Z,,121,,,,,137,5aop,,"5-Amino-4-oxo-Pentanoate, 5-Amino-4-oxo-Pentanoic acid, 5-Amino-4-oxopentanoate, 5-Amino-4-oxopentanoic acid, 5-Amino-4-oxovalerate, 5-Amino-4-oxovaleric acid, 5-Amino-Levulinate, 5-Amino-Levulinic acid, 5-Aminolaevulinate, 5-Aminolaevulinic acid, 5-Aminolevulinate, Aladerm, Amino-levulinic acid, Aminolevulinate, Aminolevulinic acid, delta-Aminolevulinate, delta-Aminolevulinic acid, Kerastick",http://vmh.uni.lu/_api/metabolites/121/?format=pcsv
5dhf,,,-6,C39H43N11O18,,,pentaglutamyl folate (DHF),,pentaglutamyl folate (DHF),,,"InChI=1/C39H47N11O18/c40-39-49-31-30(33(58)50-39)43-19(16-42-31)15-41-18-3-1-17(2-4-18)32(57)48-24(38(67)68)8-13-28(54)46-22(36(63)64)6-11-26(52)44-20(34(59)60)5-10-25(51)45-21(35(61)62)7-12-27(53)47-23(37(65)66)9-14-29(55)56/h1-4,16,20-24,41H,5-15H2,(H,44,52)(H,45,51)(H,46,54)(H,47,53)(H,48,57)(H,55,56)(H,59,60)(H,61,62)(H,63,64)(H,65,66)(H,67,68)(H3,40,42,49,50,58)/t20-,21-,22-,23-,24-/m0/s1",,2016-11-22T15:11:45Z,,122,,,,,73374,5dhf,,,http://vmh.uni.lu/_api/metabolites/122/?format=pcsv
5fthf,,,-2,C20H21N7O7,CHEBI:15640,,5-formyltetrahydrofolate(2-),,5-formyltetrahydrofolate(2-),,,"InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)27(9-28)12(8-23-16)7-22-11-3-1-10(2-4-11)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,12-13,22H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,23,25,26,32)/p-2/t12-,13-/m0/s1",C03479,2016-11-22T15:11:45Z,,123,,,,,143,5fthf,,,http://vmh.uni.lu/_api/metabolites/123/?format=pcsv
5htrp,,,0,C11H12N2O3,CHEBI:17780,,"Human Metabolome Database (HMDB): 5-Hydroxy-L-tryptophan is an aromatic amino acid naturally produced by the body from the essential amino acid l-tryptophan. 5-Hydroxy-L-tryptophan is the immediate precursor of the neurotransmitter serotonin. The conversion to serotonin is catalyzed by the enzyme aromatic l-amino acid decarboxylase (EC 4.1.1.28, AADC1 also known as dopa decarboxylase), an essential enzyme in the metabolism of the monoamine neurotransmitters. An accumulation of 5-Hydroxy-L-tryptophan in cerebrospinal fluid occurs in Aromatic l-amino acid decarboxylase deficiency (OMIM 608643), accompanied by an increased excretion in the urine of the patients, which are indicative of the disorder but not specific 5-Hydroxy-L-tryptophan is also increased in other disorders such as in Parkinson's patients with severe postural instability and gait disorders. Confirmation of the diagnosis AADC deficiency is then required by enzyme activity measurement or genetic analysis. The amount of endogenous 5-Hydroxy-L-tryptophan available for serotonin synthesis depends on the availability of tryptophan and on the activity of various enzymes, especially tryptophan hydroxylase (EC 1.14.16.4), indoleamine 2,3-dioxygenase (EC 1.13.11.52), and tryptophan 2,3-dioxygenase. (EC 1.13.11.11, TDO). 5-Hydroxy-L-tryptophan has been used clinically for over 30 years. In addition to depression, the therapeutic administration of 5-Hydroxy-L-tryptophan has been shown to be effective in treating a wide variety of conditions, including fibromyalgia, insomnia, binge eating associated with obesity, cerebellar ataxia, and chronic headaches. 5-Hydroxy-L-tryptophan easily crosses the blood-brain barrier and effectively increases central nervous system (CNS) synthesis of serotonin. Supplementation with 5-Hydroxy-L-tryptophan is hypothesized to normalize serotonin synthesis, which is putatively related to its antidepressant properties. (PMID: 9295177, 17240182, 16023217).",,5-hydroxy-L-tryptophan,,HMDB00472,"InChI=1S/C11H12N2O3/c12-9(11(15)16)3-6-5-13-10-2-1-7(14)4-8(6)10/h1-2,4-5,9,13-14H,3,12H2,(H,15,16)/t9-/m0/s1",C01017,2016-12-05T15:48:04Z,,124,,,,,439280,5htrp,,"(+-)-5-Hydroxytryptophan, (S)-5-Hydroxytryptophan, 5-Hydroxy-L-Tryptophan, 5-Hydroxy-tryptophan, 5-Hydroxyl-L-tryptophan, 5-Hydroxytryptophan, 5-Hydroxytryptophan L form, 5-Hydroxytryptophan L-form, Cincofarm, Hydroxytryptophan, L-5-Hydroxytryptophan, Levothym, Levotinine, Oxitriptan, Oxyfan, Oxytryptophan, Pretonine, Quietim, Serotonyl, Telesol, Triptene",http://vmh.uni.lu/_api/metabolites/124/?format=pcsv
srtn,,,1,C10H13N2O,CHEBI:28790,,"Human Metabolome Database (HMDB): Serotonin is a biochemical messenger and regulator, synthesized from the essential amino acid L-Tryptophan. Serotonin in the nervous system acts as a local transmitter at synapses, and as a paracrine or hormonal modulator of circuits upon diffusion, allowing a wide variety of ""state-dependent"" behavioral responses to different stimuli. Serotonin is widely distributed in the nervous system of vertebrates and invertebrates and some of its behavioral effects have been preserved along evolution. Such is the case of aggressive behavior and rhythmic motor patterns , including those responsible for feeding. In vertebrates, which display a wider and much more sophisticated behavioral repertoire, serotonin also modulates sleep, the arousal state , sexual behavior, and others, and deficiencies of the serotonergic system causes disorders such as depression, obsessive-compulsive disorder, phobias, posttraumatic stress disorder, epilepsy, and generalized anxiety disorder. Serotonin has three different modes of action in the nervous system: as transmitter, acting locally at synaptic boutons; upon diffusion at a distance from its release sites, producing paracrine (also called volume) effects, and by circulating in the blood stream, producing hormonal effects. The three modes can affect a single neuronal circuit. (PMID: 16047543).",,serotonin(1+),,HMDB00259,"InChI=1S/C10H12N2O/c11-4-3-7-6-12-10-2-1-8(13)5-9(7)10/h1-2,5-6,12-13H,3-4,11H2/p+1",C00780,2016-12-05T15:48:04Z,,125,,,,,5202,srtn,,"3-(2-Aminoethyl)-1H-indol-5-ol, 3-(2-Aminoethyl)indol-5-ol, 3-(b-Aminoethyl)-5-hydroxyindole, 5-HT, 5-HTA, 5-Hydroxy-3-(b-aminoethyl)indole, 5-Hydroxy-tryptamine, 5-Hydroxyltryptamine, 5-Hydroxytriptamine, 5-Hydroxytryptamine, Antemovis, DS substance, Enteramin, Enteramine",http://vmh.uni.lu/_api/metabolites/125/?format=pcsv
5homeprazole,,,0,C17H19N3O4S,,,5 hydroxy omeprazole,,5 hydroxy omeprazole,,,,,2016-11-22T15:11:45Z,,126,,,,,,5homeprazole,,,http://vmh.uni.lu/_api/metabolites/126/?format=pcsv
5hoxindact,,,0,C10H9NO2,CHEBI:50157,,"Human Metabolome Database (HMDB): 5-Hydroxyindoleacetaldehyde is a biogenic aldehyde of serotonin derived from the action of monoamine oxidase (MAO). (PMIDs 11306106, 2470392).",,(5-hydroxyindol-3-yl)acetaldehyde,,HMDB04073,"InChI=1S/C10H9NO2/c12-4-3-7-6-11-10-2-1-8(13)5-9(7)10/h1-2,4-6,11,13H,3H2",C05634,2016-12-05T15:48:04Z,,127,,,,(5-hydroxyindol-3-yl)acetaldehyde,,5hoxindact,,"(5-hydroxy-1H-indol-3-yl)acetaldehyde, (5-hydroxyindol-3-yl)acetaldehyde, 5-Hial, 5-Hydroxy-1H-Indole-3-acetaldehyde, 5-Hydroxyindole-3-acetaldehyde, Hydroxyindoleacetaldehyde",http://vmh.uni.lu/_api/metabolites/127/?format=pcsv
5hoxindoa,,,-1,C10H8NO3,,,"Human Metabolome Database (HMDB): 5-hydroxyindoleacetic acid (5HIAA) is a breakdown product of serotonin that is excreted in the urine. Serotonin is a hormone found at high levels in many body tissues. Serotonin and 5HIAA are produced in excess amounts by carcinoid tumors, and levels of these substances may be measured in the urine to test for carcinoid tumors. (NCI).",,5-Hydroxyindoleacetate,,HMDB00763,"InChI=1S/C10H9NO3/c12-7-1-2-9-8(4-7)6(5-11-9)3-10(13)14/h1-2,4-5,11-12H,3H2,(H,13,14)/p-1",C05635,2016-12-05T15:48:04Z,,128,,,,,,5hoxindoa,,"5-HIAA, 5-Hydroxy-1H-indole-3-acetate, 5-Hydroxy-1H-indole-3-acetic acid, 5-Hydroxy-3-indolylacetate, 5-Hydroxy-IAA, 5-Hydroxy-Indole-3-acetate, 5-Hydroxy-Indole-3-acetic acid, 5-Hydroxyheteroauxin, 5-Hydroxyindol-3-ylacetate, 5-Hydroxyindol-3-ylacetic acid, 5-Hydroxyindole acetate, 5-Hydroxyindole-3-acetate, 5-Hydroxyindole-3-acetic acid, 5-Hydroxyindoleacetate, 5-Hydroxyindoleacetic acid, 5-Oxyindoleacetate, 5-Oxyindoleacetic acid, 5HIAA, Hydroxyindoleacetate",http://vmh.uni.lu/_api/metabolites/128/?format=pcsv
5hoxnfkyn,,,0,C11H12N2O5,,,5-hydroxy-N-formylkynurenine,,5-hydroxy-N-formylkynurenine,,,"InChI=1S/C11H12N2O5/c12-8(11(17)18)4-10(16)7-3-6(15)1-2-9(7)13-5-14/h1-3,5,8,15H,4,12H2,(H,13,14)(H,17,18)",C05648,2016-11-22T15:11:45Z,,129,,,,,440744,5hoxnfkyn,,,http://vmh.uni.lu/_api/metabolites/129/?format=pcsv
5hxkyn,,,0,C10H12N2O4,,,5-hydroxykynurenine,,5-hydroxykynurenine,,,"InChI=1S/C10H12N2O4/c11-7-2-1-5(13)3-6(7)9(14)4-8(12)10(15)16/h1-3,8,13H,4,11-12H2,(H,15,16)",C05651,2016-11-22T15:11:45Z,,130,,,,,440745,,,,http://vmh.uni.lu/_api/metabolites/130/?format=pcsv
5hxkynam,,,1,C9H13N2O2,CHEBI:28715,,5-Hydroxykynurenamine,,5-Hydroxykynurenamine,,,"InChI=1/C9H12N2O2/c10-4-3-9(13)7-5-6(12)1-2-8(7)11/h1-2,5,12H,3-4,10-11H2",C05638,2016-11-22T15:11:45Z,,131,,,,,164719,,,,http://vmh.uni.lu/_api/metabolites/131/?format=pcsv
46dhoxquin,,,0,C9H7NO2,CHEBI:28799,,"4,6-Dihydroxyquinoline",,"4,6-Dihydroxyquinoline",,,"InChI=1S/C9H7NO2/c11-6-1-2-8-7(5-6)9(12)3-4-10-8/h1-5,11H,(H,10,12)",C05639,2016-11-22T15:11:45Z,,132,,,,,,,,,http://vmh.uni.lu/_api/metabolites/132/?format=pcsv
5mthf,,,-1,C20H24N7O6,CHEBI:15641,,"Human Metabolome Database (HMDB): 5 methyltetrahydrofolic acid (5-MTHF) is the most biologically active form of the B-vitamin known as folic acid, also known generically as folate. 5-MTHF functions, in concert with vitamin B12, as a methyl-group donor involved in the conversion of the amino acid homocysteine to methionine. Methyl (CH3) group donation is vital to many bodily processes, including serotonin, melatonin, and DNA synthesis. Therapeutically, 5-MTHF is instrumental in reducing homocysteine levels, preventing neural tube defects, and improving vascular endothelial function. Research on folate supplementation suggests it plays a key role in preventing cervical dysplasia and protecting against neoplasia in ulcerative colitis. Folic acid also shows promise as part of a nutritional protocol to treat vitiligo, and may reduce inflammation of the gingiva. Furthermore, certain neurological, cognitive, and psychiatric presentations may be secondary to folate deficiency. Such presentations include depression, peripheral neuropathy, myelopathy, restless legs syndrome, insomnia, dementia, forgetfulness, irritability, endogenous depression, organic psychosis, and schizophrenia-like syndromes. After ingestion, the process of conversion of folic acid to the metabolically active coenzyme forms is relatively complex. Synthesis of the active forms of folic acid requires several enzymes, adequate liver and intestinal function, and adequate supplies of riboflavin (B2), niacin (B3), pyridoxine (B6), zinc, vitamin C, and serine. After formation of the coenzyme forms of the vitamin in the liver, these metabolically active compounds are secreted into the small intestine with bile (the folate enterohepatic cycle), where they are reabsorbed and distributed to tissues throughout the body. Human pharmacokinetic studies indicate folic acid has high bioavailability, with large oral doses of folic acid substantially raising plasma levels in healthy subjects in a time and dose dependent manner. Red blood cells (RBCs) appear to be the storage depot for folic acid, as RBC levels remain elevated for periods in excess of 40 days following discontinuation of supplementation. Folic acid is poorly transported to the brain and rapidly cleared from the central nervous system. The primary methods of elimination of absorbed folic acid are fecal (through bile) and urinary. Despite the biochemical complexity of this process, evidence suggests oral supplementation with folic acid increases the body's pool of 5-MTHF in healthy individuals. However, enzyme defects, mal-absorption, digestive system pathology, and liver disease can result in impaired ability to activate folic acid. In fact, some individuals have a severe congenital deficiency of the enzyme Methyl tetrahydrofolate reductase (5-MTHFR), which is needed to convert folic acid to 5-MTHF. Milder forms of this enzyme defect likely interact with dietary folate status to determine risk for some disease conditions. In individuals with a genetic defect of this enzyme (whether mild or severe), supplementation with 5- MTHF might be preferable to folic acid supplementation. (PMID: 17176169).",,5-Methyltetrahydrofolate,,HMDB01396,"InChI=1S/C20H25N7O6/c1-27-12(9-23-16-15(27)18(31)26-20(21)25-16)8-22-11-4-2-10(3-5-11)17(30)24-13(19(32)33)6-7-14(28)29/h2-5,12-13,22H,6-9H2,1H3,(H,24,30)(H,28,29)(H,32,33)(H4,21,23,25,26,31)/p-2/t12-,13-/m0/s1",C00440,2016-12-05T15:48:04Z,,133,,,,,439234,5mthf,,"5-Methyl tetrahydrofolate, 5-Methyl-5,6,7,8-tetrahydrofolate, 5-Methyl-tetrahydrofolate, 5-Methyltetrahydrofolate, 5-Methyltetrahydropteroylglutamate, Methyl folate, Methyl-tetrahydrofolate, N( 5)-Methyltetrahydrofolate, N-(4-(((2-Amino-1,4,5,6,7,8-hexahydro-5-methyl-4-oxo-6-pteridinyl)methyl)amino)benzoyl)-L-Glutamate, N-(4-(((2-Amino-1,4,5,6,7,8-hexahydro-5-methyl-4-oxo-6-pteridinyl)methyl)amino)benzoyl)-L-Glutamic acid, N-(5-Methyl-5,6,7,8-tetrahydropteroyl)-L-glutamate, N-(5-Methyl-5,6,7,8-tetrahydropteroyl)-L-glutamic acid, N5-Methyl-tetrahydrofolate, N5-Methyl-tetrahydrofolic acid, N5-methyltetrahydrofolate, N5-methyltetrahydropteroyl mono-L-glutamate, [(6S)-5-methyl-5,6,7,8-tetrahydropteroyl]glutamate",http://vmh.uni.lu/_api/metabolites/133/?format=pcsv
5thf,,,-6,C39H45N11O18,,,pentaglutamyl folate (THF),,pentaglutamyl folate (THF),,,,,2016-11-22T15:11:45Z,,134,,,,,,5thf,,,http://vmh.uni.lu/_api/metabolites/134/?format=pcsv
6dhf,,,-7,C44H49N12O21,,,hexaglutamyl folate (DHF),,hexaglutamyl folate (DHF),,,"InChI=1/C44H54N12O21/c45-21(36(66)67)5-10-26(57)43(15-30(61)62,27(58)11-6-22(46)37(68)69)44(28(59)12-7-23(47)38(70)71,41(76)77-31(63)14-9-25(49)40(74)75)56(29(60)13-8-24(48)39(72)73)35(65)18-1-3-19(4-2-18)51-16-20-17-52-33-32(53-20)34(64)55-42(50)54-33/h1-4,17,21-25,51H,5-16,45-49H2,(H,61,62)(H,66,67)(H,68,69)(H,70,71)(H,72,73)(H,74,75)(H3,50,52,54,55,64)/t21-,22-,23-,24-,25-,44+/m0/s1",,2016-11-22T15:11:45Z,,135,,,,,169691,6dhf,,,http://vmh.uni.lu/_api/metabolites/135/?format=pcsv
6htststerone,,,0,C19H28O3,CHEBI:34477,,"Human Metabolome Database (HMDB): Testosterone is reported to have an acute vasodilating action in vitro, an effect that may impart a favourable haemodynamic response in patients with chronic heart failure.",,6 beta hydroxy testosterone,,HMDB06259,"InChI=1/C19H28O3/c1-18-7-5-11(20)9-15(18)16(21)10-12-13-3-4-17(22)19(13,2)8-6-14(12)18/h9,12-14,16-17,21-22H,3-8,10H2,1-2H3/t12-,13-,14-,16+,17-,18+,19-/m0/s1",C14497,2016-12-05T15:48:04Z,,136,,,,,65543,6htststerone,,"6 beta Hydroxy testosterone, 6,17-Dihydroxy-(6b,17b)-Androst-4-en-3-one, 6,17-Dihydroxy-(6beta,17beta)-Androst-4-en-3-one, 6,17-Dihydroxyandrost-4-en-3-one (ACD/Name 4.0), 6beta,17beta-Dihydroxyandrost-4-en-3-one, 6beta-Hydroxytestosterone",http://vmh.uni.lu/_api/metabolites/136/?format=pcsv
6thf,,,-7,C44H51N12O21,,,hexaglutamyl folate  (THF),,hexaglutamyl folate  (THF),,,"InChI=1/C44H54N12O21/c45-21(36(66)67)5-10-26(57)43(15-30(61)62,27(58)11-6-22(46)37(68)69)44(28(59)12-7-23(47)38(70)71,41(76)77-31(63)14-9-25(49)40(74)75)56(29(60)13-8-24(48)39(72)73)35(65)18-1-3-19(4-2-18)51-16-20-17-52-33-32(53-20)34(64)55-42(50)54-33/h1-4,17,21-25,51H,5-16,45-49H2,(H,61,62)(H,66,67)(H,68,69)(H,70,71)(H,72,73)(H,74,75)(H3,50,52,54,55,64)/p-1/t21u,22u,23u,24u,25u,43u,44-/m1/s1",,2016-11-22T15:11:45Z,,137,,,,,169691,6thf,,,http://vmh.uni.lu/_api/metabolites/137/?format=pcsv
7dhchsterol,,,0,C27H44O,CHEBI:17759,,"Human Metabolome Database (HMDB): 7-Dehydrocholesterol is a zoosterol (a sterol produced by animals rather than plants). It is a provitamin-D. The presence of this compound in skin enables humans to manufacture vitamin D3 from ultra-violet rays in the sun light, via an intermediate isomer provitamin D3. It is also found in breast milk.",,"cholesta-5,7-dien-3beta-ol",,HMDB00032,"InChI=1S/C27H44O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9-10,18-19,21,23-25,28H,6-8,11-17H2,1-5H3/t19-,21+,23-,24+,25+,26+,27-/m1/s1",C01164,2016-12-05T15:48:04Z,,138,,,,,,7dhchsterol,,"(-)-7-dehydrocholesterol, (3b)-Cholesta-5,7-dien-3-ol, (3beta)-Cholesta-5,7-dien-3-ol, 10,13-Dimethyl-17-(6-methylheptan-2-yl)-2,3,4,9,11,12,14,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-3-ol, 17-(1,5-Dimethylhexyl)-10,13-dimethyl-2,3,4,9,10,11,12,13,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol, 5,7-Cholestadien-3-beta-ol, 5,7-Cholestandien-3-ol, 5,7-Cholestandien-3beta-ol, 7,8-Dehydro-cholesterol, 7,8-Didehydrocholesterol, 7-Dehydro-cholesterol, 7-Dehydrocholesterin, 7-Dehydrocholesterol, 7DHC, Cholesta-5,7-dien-3 beta -ol, Cholesta-5,7-dien-3-beta-ol, Cholesta-5,7-dien-3-ol, Cholesta-5,7-dien-3b-ol, Cholesta-5,7-dien-3beta-ol, Dehydrocholesterin, Dehydrocholesterol, Delta5,7-Cholestadien-3beta-ol, Delta5,7-Cholesterol, Delta7-Cholesterol, Provitamin D3, Provitamin-D3",http://vmh.uni.lu/_api/metabolites/138/?format=pcsv
